id,created_at,text,edit_history_tweet_ids,in_reply_to_user_id,conversation_id,author_id,author_name,label,score
1101880454955913216,2019-03-02T16:22:27.000Z,@flyethiopian https://t.co/gF7Mbj7I1B,['1101880454955913216'],334032462,1101450503475683333,1094693470747402241,Neguker1,NEU,0.9532092213630676
1101803926402277376,2019-03-02T11:18:21.000Z,@flyethiopian Hoping to fly MPM Pol with u one day,['1101803926402277376'],334032462,1101450503475683333,987722526,PaulPchikwanda,POS,0.8779572248458862
1101754253910204417,2019-03-02T08:00:58.000Z,@flyethiopian Congratulations THE NEW SPIRIT OF AFRICA.,['1101754253910204417'],334032462,1101450503475683333,819850936050941952,fekadesilase16,POS,0.987759530544281
1101690501068189696,2019-03-02T03:47:38.000Z,"@flyethiopian @africaupdates Great stride, right direction go go #MyAfrica",['1101690501068189696'],334032462,1101450503475683333,1100683592634720256,TapiwanasheBwa1,POS,0.9837349653244019
1101580213098553345,2019-03-01T20:29:23.000Z,"@flyethiopian Congratulations, proud of ethiopian airlines!!!",['1101580213098553345'],334032462,1101450503475683333,1091304392203137025,Tewodro96261276,POS,0.9920404553413391
1101526991797399555,2019-03-01T16:57:54.000Z,@flyethiopian Great!,['1101526991797399555'],334032462,1101450503475683333,805702995631542272,AshebirGizaw1,POS,0.9893218278884888
1101484274837086211,2019-03-01T14:08:10.000Z,"@flyethiopian @muluhaileg Double standard Airlines. 
❌Stop your sponsorship to the Genocide Media and fake news media of 2018 #ESAT",['1101484274837086211'],334032462,1101450503475683333,1028619837998858242,MusiSoliyana,NEG,0.98463374376297
1101462787195310080,2019-03-01T12:42:47.000Z,"@flyethiopian Ethiopia Airlines, Africa's pride!",['1101462787195310080'],334032462,1101450503475683333,1969958834,WediTig,POS,0.7323188185691833
1101452313552658432,2019-03-01T12:01:10.000Z,@flyethiopian Proud of flyethiopian!,['1101452313552658432'],334032462,1101450503475683333,1098937042703212544,SolomonTaye17,POS,0.989426851272583
1101452025030692864,2019-03-01T12:00:01.000Z,@flyethiopian Congratulations!!!,['1101452025030692864'],334032462,1101450503475683333,974995225792872448,StellaMaris268,POS,0.9908863306045532
