in_reply_to_user_id,author_id,id,conversation_id,created_at,edit_history_tweet_ids,text,author_name,label,score
334032462,75052528,1104231761049993216,1100323072895270912,2019-03-09T04:05:42.000Z,['1104231761049993216'],@flyethiopian @HermelaTV My admiration and respect to Ethiopia. I wish these wemon all the best. 👸🏽🌞🙋🏽‍♂️,jazzblowin,POS,0.9879472851753235
334032462,961175971448664065,1103779671467061248,1100323072895270912,2019-03-07T22:09:15.000Z,['1103779671467061248'],@flyethiopian @proudMamasgirl 🔥 🔥 🔥,PeratoN_Senior,POS,0.5790444612503052
334032462,954802662838587393,1103753582019600385,1100323072895270912,2019-03-07T20:25:35.000Z,['1103753582019600385'],"@flyethiopian As the Lucys take off ,control the skies and land in Oslo, kindly keep us posted with pictures that you shall find appropriate. Such events occur on special days like the International Women's day and this is putting the business and dignity of @flyethiopian very high! BIG UP!",kabbiazi,POS,0.907787561416626
334032462,954802662838587393,1103750474451349505,1100323072895270912,2019-03-07T20:13:14.000Z,['1103750474451349505'],"@flyethiopian You guys are GREAT! I wish  all female  crew that shall be in command,technical  and service of the flight to Oslo,the entire airline leadership and staff and all passengersto Oslo and to other destinations a very bon voyage! Kindly keep us posted on how you shall be proceeding.",kabbiazi,POS,0.9865842461585999
334032462,2850263720,1103694253337858048,1100323072895270912,2019-03-07T16:29:50.000Z,['1103694253337858048'],"@flyethiopian Yeeeeey, wonderful!",adeytigray_,POS,0.992142915725708
334032462,875388073009442817,1101334360832331776,1100323072895270912,2019-03-01T04:12:28.000Z,['1101334360832331776'],@flyethiopian Your online check in process is such a mess. I always have to end up calling your unhelpful helpdesk who lie to me that your systems are down. It’s always the same story! 😡,PrezShu,NEG,0.985768735408783
334032462,161750977,1100652642861305856,1100323072895270912,2019-02-27T07:03:33.000Z,['1100652642861305856'],@flyethiopian Love that team.,Abdelrehman,POS,0.9910242557525635
334032462,2737855528,1100629518044282881,1100323072895270912,2019-02-27T05:31:40.000Z,['1100629518044282881'],@flyethiopian Yes you can! What you are doing and having is what you are deserve to do and to have!,eliasibrahem1,POS,0.5936096906661987
334032462,2996011006,1100422236287262720,1100323072895270912,2019-02-26T15:48:00.000Z,['1100422236287262720'],@flyethiopian @MariaSTsehai I will be there and then 🔥🔥🔥💋👄,WhymelordMai,NEU,0.9702866077423096
334032462,1076376311420121088,1100394047049363457,1100323072895270912,2019-02-26T13:55:59.000Z,['1100394047049363457'],@flyethiopian There are several Airlines around the world taking on this initiative #Allwomenflight Well done @flyethiopian,AirMichal,POS,0.9396583437919617
334032462,1028619837998858242,1100333792823332864,1100323072895270912,2019-02-26T09:56:34.000Z,['1100333792823332864'],@flyethiopian @EthioPhenomenal https://t.co/XEMMW1FOTl,MusiSoliyana,NEU,0.9116585850715637
