edit_history_tweet_ids,id,text,author_id,created_at,conversation_id,in_reply_to_user_id,author_name,label,score
['452554841194127360'],452554841194127360,@MAS don't give up you guys will find the plane and please follow me.,902631500,2014-04-05T21:14:16.000Z,448685583561261056,19106719,danielcatucci1,POS,0.8014209866523743
['450373207032619008'],450373207032619008,@MAS is it true u told people by text?,1527977066,2014-03-30T20:45:14.000Z,448685583561261056,19106719,NishaSanaa,NEU,0.9773966073989868
['450130734414434304'],450130734414434304,@MAS All we need is the truth!,2418303480,2014-03-30T04:41:44.000Z,448685583561261056,19106719,TomXixu,NEU,0.9527738690376282
['449942688004321280'],449942688004321280,@MAS: We're deeply saddened by the loss of #MH370. Our prayers &amp; condolences are with the families in this moment of sorrow.,1973042497,2014-03-29T16:14:31.000Z,448685583561261056,19106719,Hadisolicitors,NEG,0.5974375009536743
['449489599727800320'],449489599727800320,@MAS Please find the plane Quckily！Quckliy！,2351455320,2014-03-28T10:14:06.000Z,448685583561261056,19106719,Hemut1996,NEU,0.9167180061340332
['449401033635020800'],449401033635020800,@MAS,2363638388,2014-03-28T04:22:10.000Z,448685583561261056,19106719,azizarif97,NEU,0.9518000483512878
['449274684123533312'],449274684123533312,@MAS killers,153060847,2014-03-27T20:00:06.000Z,448685583561261056,19106719,cw14,NEG,0.9601778388023376
['449171374519508992'],449171374519508992,@MAS you better pray that your cargo list doesnt become an issue for the lawyers,2256018697,2014-03-27T13:09:35.000Z,448685583561261056,19106719,Petrossian50,NEG,0.546735405921936
['449166654744711168'],449166654744711168,@MAS WALLAHI! jika phk brkenaan nk sgt jumpa pesawat MH370 &amp; kotak hitamnya WAJIB mana2 phk transfer RM2juta ke MBB no.156012053926 segera!!,1954347631,2014-03-27T12:50:50.000Z,448685583561261056,19106719,Muja25W,NEU,0.9655672907829285
['449125289281343489'],449125289281343489,"@MAS 

I believe the son of the pilot when he said that his father did not kidnap the plain.

his father is innocent.",109296808,2014-03-27T10:06:27.000Z,448685583561261056,19106719,Dxbai,NEU,0.9577649235725403
['449106929831272448'],449106929831272448,@MAS  a tear literally dropped from my eye just thinkin about it. This is the worst way to go. #MH370,726893023,2014-03-27T08:53:30.000Z,448685583561261056,19106719,StereoInformant,NEG,0.984254002571106
['449073318658711552'],449073318658711552,@MAS deeply saddened indeed. Coming up next: http://t.co/7BVS7NfdOd,2307787160,2014-03-27T06:39:57.000Z,448685583561261056,19106719,FridgeJug,NEG,0.8934491276741028
['449035310890897409'],449035310890897409,@MAS we people around the world also sad with tragedy but please take this tragedy as a lesson to improving your services after this,167736875,2014-03-27T04:08:55.000Z,448685583561261056,19106719,guricula,NEG,0.9061404466629028
['449033771883298816'],449033771883298816,@MAS We need the TRUTH！！！！！,2406293888,2014-03-27T04:02:48.000Z,448685583561261056,19106719,QueenieLee4,NEU,0.8608689904212952
['449000173364977664'],449000173364977664,"@MAS @esneet4113 Until you morons find it, it's NOT LOST!!!",1266323203,2014-03-27T01:49:18.000Z,448685583561261056,19106719,ArcticFox_am_I,NEG,0.9648380875587463
['448956244368576512'],448956244368576512,@MAS k,66035059,2014-03-26T22:54:44.000Z,448685583561261056,19106719,karen_xxxxxxx,NEU,0.9715516567230225
['448917537863262209'],448917537863262209,"@MAS yes it's a sad news, and what are the causes of the incident ?",2412589768,2014-03-26T20:20:56.000Z,448685583561261056,19106719,Abdulla64658035,NEG,0.9756538271903992
['448890257837391873'],448890257837391873,@MAS fucking liars.,333892685,2014-03-26T18:32:32.000Z,448685583561261056,19106719,duck_duck_puck,NEG,0.9820597171783447
['448878197182980096'],448878197182980096,@MAS Wouldn't believe another lieing word out of your mouths.#MH370 disappeared  on March 8th.You had no clue how to handle it.Stupid asses,2281466551,2014-03-26T17:44:36.000Z,448685583561261056,19106719,hobbit469355,NEG,0.9854906797409058
['448877848946675712'],448877848946675712,@MAS Unless you have evidence I wouldn't even go there!!!,2352486697,2014-03-26T17:43:13.000Z,448685583561261056,19106719,Jollyjas1st,NEG,0.7210844159126282
['448869687037034496'],448869687037034496,@MAS y'all asses are gonna get suuuued if anything you've said is incorrect. #MH370 #MH370 search,18394733,2014-03-26T17:10:47.000Z,448685583561261056,19106719,annaannaannaann,NEG,0.9695940613746643
['448862942725820416'],448862942725820416,@MAS tell the truth and dont hide any information !!!,186024515,2014-03-26T16:43:59.000Z,448685583561261056,19106719,nouvrizky10,NEG,0.8254896998405457
['448842591123931137'],448842591123931137,@MAS Please try your utmost effort and cooperation to find the plane. We need to see concrete evidence.  It changed its course. Why was that,378720353,2014-03-26T15:23:07.000Z,448685583561261056,19106719,Cindy_Q_Deng,NEU,0.8550049066543579
['448832696374947840'],448832696374947840,"@MAS pls acknowledge those two beautiful people who are not Malaysian (refer to my tweets). Their support for you, MAS, is beyond sweetness!",161416416,2014-03-26T14:43:48.000Z,448685583561261056,19106719,ieeko,POS,0.9888983368873596
['448830463675600896'],448830463675600896,@MAS,1394844276,2014-03-26T14:34:56.000Z,448685583561261056,19106719,yuaysh,NEU,0.9518000483512878
['448820098413776896'],448820098413776896,New leads today update 7am RT “@MAS: We're deeply saddened by the loss of #MH370.  http://t.co/MqfVwIZKJ5”,718827319,2014-03-26T13:53:44.000Z,448685583561261056,19106719,BrienBlakelyTV,NEG,0.5446620583534241
['448813443139649536'],448813443139649536,@MAS please fulfill your responbilies!,2175460765,2014-03-26T13:27:18.000Z,448685583561261056,19106719,hlcable,NEU,0.7783705592155457
['448810918257127424'],448810918257127424,@MAS it's a sad news. But what's the courses of this incident ?,2412589768,2014-03-26T13:17:16.000Z,448685583561261056,19106719,Abdulla64658035,NEG,0.9797296524047852
['448810502194745344'],448810502194745344,"@MAS needs to focus on its Marque Employeur, dear @Frangoyo! Great Place to Work ... Null  #communication #PR ~ My♥ w/the families! #MH370",1438183039,2014-03-26T13:15:36.000Z,448685583561261056,19106719,Carolicen,POS,0.8182076811790466
['448809425935937536'],448809425935937536,@MAS its political conpiracy,2421545608,2014-03-26T13:11:20.000Z,448685583561261056,19106719,eric13141,NEU,0.9165216088294983
['448788035992186880'],448788035992186880,"@MAS Demi Allah! klau phk brkenaan nk jumpa pesawat MH370 srta black box nya,WAJIB mana2 phk transfer RM2juta ke MBB no.156012053926 sgra!!!",1954347631,2014-03-26T11:46:20.000Z,448685583561261056,19106719,Muja25W,NEU,0.937364399433136
['448784686135783424'],448784686135783424,@MAS ๆ,396336221,2014-03-26T11:33:01.000Z,448685583561261056,19106719,Vutwood,NEU,0.9688517451286316
['448758593341247489'],448758593341247489,@MAS  you know what happened from the beginning. Why hide it?  Misleading the world. Wish your airline goes to hell.,115482618,2014-03-26T09:49:20.000Z,448685583561261056,19106719,tiawaiata,NEG,0.9856831431388855
['448751396897046528'],448751396897046528,@MAS Always kidding us !!! We want the truth !,1427077698,2014-03-26T09:20:45.000Z,448685583561261056,19106719,Q_Jay_Li,NEG,0.9839404821395874
['448746913618071553'],448746913618071553,@MAS get us the evidence pls,759441978,2014-03-26T09:02:56.000Z,448685583561261056,19106719,myleong,NEU,0.9453144669532776
['448743397004546048'],448743397004546048,@MAS Uncle Ahmad Jauhari Yahya.Bukan salah uncle atau sesiapa.Takdir.Jika uncle ayah saya pasti saya beri bahu kanan untuk uncle nangis.♥MAS,2177672006,2014-03-26T08:48:57.000Z,448685583561261056,19106719,ZairinIsmail,NEU,0.9619175791740417
['448737737768579072'],448737737768579072,@MAS MH370,1894488943,2014-03-26T08:26:28.000Z,448685583561261056,19106719,xSkullWiredx,NEU,0.9518082737922668
['448726116136525824'],448726116136525824,@MAS so you think  prays are enough to let us accept the fact of losing relatives and friends????,115557577,2014-03-26T07:40:17.000Z,448685583561261056,19106719,missrubychang,NEG,0.8775674700737
['448719646040915968'],448719646040915968,@mas let's click this adress http://t.co/9VIsI9osRN,2382120822,2014-03-26T07:14:35.000Z,448685583561261056,19106719,AntonPu53806893,NEU,0.9380668997764587
['448717448641273856'],448717448641273856,@MAS I get the feeling your trying so hard but I think unknown forces are undermining your efforts..really looks like sabotage ...,93002286,2014-03-26T07:05:51.000Z,448685583561261056,19106719,leon9mm,NEG,0.9710822105407715
['448713762158018560'],448713762158018560,@MAS how do you know everyone died?,93839918,2014-03-26T06:51:12.000Z,448685583561261056,19106719,surferbabes,NEG,0.9378839135169983
['448711431865655297'],448711431865655297,@MAS Thank you for your thorough coverage of this tragic event. Have followed all of it. Having many tears in thought of everyone. #love,87738375,2014-03-26T06:41:56.000Z,448685583561261056,19106719,Julious09,POS,0.6084688901901245
['448707820490211328'],448707820490211328,@MAS 祈祷哀悼有用么 你们置受害家属诉求不理 网传马航阴谋论 如若属实 你们就是最恶劣的真凶 ！！！！！！！,2363705137,2014-03-26T06:27:35.000Z,448685583561261056,19106719,brr19901128,NEU,0.5712578892707825
['448707627217063936'],448707627217063936,@MAS: they deserve an explication on how this could happen. Your job now is answer to all the questions about this tragedy. #MH370,14152109,2014-03-26T06:26:49.000Z,448685583561261056,19106719,guinnessx8,NEU,0.7127808332443237
['448704794509590529'],448704794509590529,@MAS do you have proof that it is in the bottom of the ocean? NO...then keep looking!!!,594059235,2014-03-26T06:15:34.000Z,448685583561261056,19106719,BTRgold,NEG,0.5913940072059631
['448703003445317632'],448703003445317632,"""They have left us too soon, but they will never be forgotten""

สายการบินมาเลเซีย @MAS ทำสื่ออาลัย 239 ชีวิตใน #MH370 http://t.co/aym0ufgWjf",15307435,2014-03-26T06:08:27.000Z,448685583561261056,19106719,yoware,NEG,0.5070281624794006
['448693101633105921'],448693101633105921,@MAS,2365239445,2014-03-26T05:29:06.000Z,448685583561261056,19106719,connie81313,NEU,0.9518000483512878
['448691592178958336'],448691592178958336,@MAS,232098739,2014-03-26T05:23:06.000Z,448685583561261056,19106719,ilyana1977,NEU,0.9518000483512878
['448690592277471233'],448690592277471233,@MAS @FogBelter is this the text message they sent out? Smh,26240167,2014-03-26T05:19:08.000Z,448685583561261056,19106719,Bfiddler,NEG,0.6176149845123291
['448690418041880579'],448690418041880579,@MAS sb,86300481,2014-03-26T05:18:26.000Z,448685583561261056,19106719,yingtoumao,NEU,0.9716733694076538
['448689920874274816'],448689920874274816,@MAS the first time in my life I HOPE hell is real so you and your government can burn in it! You have tortured the families!!,443242380,2014-03-26T05:16:28.000Z,448685583561261056,19106719,emurph42,NEG,0.9855152368545532
['448689504124035072'],448689504124035072,@MAS you found nothing so stfu and go look for the plane. PLS,590880630,2014-03-26T05:14:48.000Z,448685583561261056,19106719,JivanrajV,NEG,0.9714065194129944
['448689036840800256'],448689036840800256,"@MAS full of bullshit, u just abandoned those families in Beijing, nil further support provided",306513615,2014-03-26T05:12:57.000Z,448685583561261056,19106719,Slovein1120,NEG,0.9856011271476746
['448688665636532224'],448688665636532224,@MAS I think you already lost the trust from mana passenger.. anyway cheer up! I have to use your company soon^^,78582104,2014-03-26T05:11:28.000Z,448685583561261056,19106719,SeenWorld,NEG,0.7996090054512024
['448688413613375488'],448688413613375488,@MAS http://t.co/wgOP84Fyzb,45050913,2014-03-26T05:10:28.000Z,448685583561261056,19106719,ervanj,NEU,0.953486979007721
['448688329639219201'],448688329639219201,"@mas Should their loss indeed be confirmed, may the all rest in peace. Miracles happen.",147424644,2014-03-26T05:10:08.000Z,448685583561261056,19106719,carloshga,NEU,0.7949770092964172
['448687775295221760'],448687775295221760,@MAS @TourTravelindo were are the bodies of the deceased!,253539939,2014-03-26T05:07:56.000Z,448685583561261056,19106719,Guide2Uganda,NEG,0.8720571398735046
['448687233390759936'],448687233390759936,@MAS hope you still can find the remains of the people involved.. so sad for all of them.. condolences..,2339672930,2014-03-26T05:05:47.000Z,448685583561261056,19106719,adelabar1903,NEG,0.6761407852172852
['448686181455511552'],448686181455511552,@MAS We have never seen any conclusion is made by imagination. Go to find planes!,323730422,2014-03-26T05:01:36.000Z,448685583561261056,19106719,polariszsy,NEU,0.68620765209198
