created_at,id,author_id,text,conversation_id,in_reply_to_user_id,edit_history_tweet_ids,author_name,label,score
2014-03-14T20:27:18.000Z,444570485829804032,1123075297,Sorry! Fyi: ALL F 370 R very OK~THEY R COMING BACK to TELL ALL THEY EXPERIENCED While UFO TAKEN w LOVE RT Ty @ http://t.co/TpmNUyyCgL @MAS,443798637789720576,19106719,['444570485829804032'],ArchAngelRich,NEU,0.62424635887146
2014-03-13T16:11:51.000Z,444143814085582849,1045680590,@MAS i think the  aircraft  never  took  off.  it  is   parked  in  a  huge  hangar in  the  airport  itself. venu the bard,443798637789720576,19106719,['444143814085582849'],ColMVenugopal,NEU,0.8748611807823181
2014-03-13T05:06:40.000Z,443976412907585536,89651621,@MAS @edjunaidi Wrong link. Their link mention about the change of flight name.,443798637789720576,19106719,['443976412907585536'],ceciliacsyi,NEG,0.9208241105079651
2014-03-13T03:21:33.000Z,443949960623443968,1580319470,@MAS f*ck U such a lier!!!!!!!!!!!!fuuuuuuuuuuuuuuuuuuuuuuuck,443798637789720576,19106719,['443949960623443968'],Lingtung_crowen,NEG,0.9794167876243591
2014-03-13T00:27:45.000Z,443906222027051008,9219982,@MAS You are doing a good job with Twitter updates for #MH370 but it's been 6 days now without any progress of the whereabout of it.,443798637789720576,19106719,['443906222027051008'],MartaZeng,NEU,0.5538941025733948
2014-03-12T20:24:19.000Z,443844962468515840,1275678547,@MAS check the crew on the plane. How can these happen so accidentally? Perhaps you have known what had exactly happened yet refuse to talk.,443798637789720576,19106719,['443844962468515840'],maoliang900824,NEG,0.6516364812850952
2014-03-12T19:28:48.000Z,443830989346058240,1668885013,@MAS pls tell us something true! Tell us something useful! There are more than 200people dying!!!!!You must have some secrets!!!!,443798637789720576,19106719,['443830989346058240'],243851998,NEG,0.8774009943008423
2014-03-12T18:03:55.000Z,443809626794913792,259181690,@MAS MAS - you do your best,443798637789720576,19106719,['443809626794913792'],mujib1998,POS,0.9761946797370911
2014-03-12T17:55:29.000Z,443807503499804673,577298930,@MAS  Why cant the Cops trace with the passengers mobile number it is possible,443798637789720576,19106719,['443807503499804673'],sudhi20091,NEG,0.6931489706039429
2014-03-12T17:45:50.000Z,443805078818811905,238838842,"@MAS apakah tidak ada kemungkinan kecil , pesawat jatuh di darat atau hutan terdekat dari sinyal terakhir ?",443798637789720576,19106719,['443805078818811905'],roymelvin,NEU,0.9606437087059021
2014-03-12T17:26:41.000Z,443800259307642880,272342021,@MAS how we wish you had our cabinet Secretary ps @F_Kimemia on board cc @Etalephil,443798637789720576,19106719,['443800259307642880'],4Ng000,NEU,0.6500030755996704
2014-03-12T17:25:13.000Z,443799890406014976,38504834,Cc: TMI RT @MAS: [#MASalert] Clarification with regards to travel misconnection of next of kin from Beijing  - http://t.co/gnyKWkAyWF,443798637789720576,19106719,['443799890406014976'],juanajaafar,NEU,0.972984254360199
2014-03-12T17:24:02.000Z,443799592685928448,115482618,@MAS stop covering up! Tell world the right story.,443798637789720576,19106719,['443799592685928448'],tiawaiata,NEG,0.9609416127204895
