id,author_id,conversation_id,text,created_at,edit_history_tweet_ids,in_reply_to_user_id,author_name,label,score
448517519020941312,2388242935,448110947937165312,@MAS prayers for them,2014-03-25T17:51:24.000Z,['448517519020941312'],19106719,edgardg80,POS,0.6409028172492981
448445519761653760,1416940544,448110947937165312,@MAS we offer our Sincere prayers to all the passenger &amp; crew of malaysian airlines MH370 condolence to all relatives ....,2014-03-25T13:05:18.000Z,['448445519761653760'],19106719,odlanor88,NEU,0.7056733965873718
448443331417083904,2177672006,448110947937165312,@MAS saya tetap ♥ MAS.,2014-03-25T12:56:36.000Z,['448443331417083904'],19106719,ZairinIsmail,NEU,0.9747906923294067
448412932318035968,453843714,448110947937165312,@MAS may God put the repose of their soul into peace and eternity! http://t.co/3BPzZjnGRS,2014-03-25T10:55:48.000Z,['448412932318035968'],19106719,ShingShyne,POS,0.8174919486045837
448411838477107200,1958615208,448110947937165312,@MAS my prayers and hope to all passengers that they are still alive,2014-03-25T10:51:28.000Z,['448411838477107200'],19106719,JLayaoen,POS,0.7609038949012756
448406713213800448,765680912,448110947937165312,@MAS Ma-lie-sia!!!!!!!!!!!!!!,2014-03-25T10:31:06.000Z,['448406713213800448'],19106719,liran017,NEG,0.8844399452209473
448368341015875584,2433708881,448110947937165312,@MAS condolence to the bereaved family..We are very sorry in your loss.:(,2014-03-25T07:58:37.000Z,['448368341015875584'],19106719,mj_mag2007,NEG,0.6917611360549927
448347708252643328,2394027985,448110947937165312,@MAS may all the soul be rest in peace...,2014-03-25T06:36:38.000Z,['448347708252643328'],19106719,CenzonJun,POS,0.8734581470489502
448338307047358464,88937817,448110947937165312,"@MAS Heartfelt condolences to the Malaysian Airlines team as well. To our beloved MAS CEO Mr Ahmad Jauhari, pls stay strong sir.",2014-03-25T05:59:16.000Z,['448338307047358464'],19106719,1181269114_230,POS,0.971972644329071
448326680721907712,2181112129,448110947937165312,@MAS,2014-03-25T05:13:04.000Z,['448326680721907712'],19106719,Meilannie2,NEU,0.9518000483512878
448326526392475648,60636761,448110947937165312,@MAS condolences from Ph people...,2014-03-25T05:12:28.000Z,['448326526392475648'],19106719,TOORK,NEU,0.6442219018936157
448324474941624322,797426359,448110947937165312,@MAS,2014-03-25T05:04:18.000Z,['448324474941624322'],19106719,butch040183,NEU,0.9518000483512878
448321134212030464,2314442077,448110947937165312,@MAS sad...condolence to the family..,2014-03-25T04:51:02.000Z,['448321134212030464'],19106719,kirara1411,NEG,0.9492078423500061
448319565957566464,143705849,448110947937165312,@MAS we offer our prayers to the victims and their families,2014-03-25T04:44:48.000Z,['448319565957566464'],19106719,youarehealed,NEU,0.7729540467262268
448318916092116996,917646794,448110947937165312,@MAS stay strong God will provide all the answers... Our prayers from Philippines,2014-03-25T04:42:13.000Z,['448318916092116996'],19106719,nozomifaith0126,POS,0.9179266095161438
448304369071841281,90543426,448110947937165312,@MAS I humbly fuck you,2014-03-25T03:44:25.000Z,['448304369071841281'],19106719,moneky719,NEG,0.9817772507667542
448284154950868992,631547714,448110947937165312,@MAS We need the truth!!!,2014-03-25T02:24:05.000Z,['448284154950868992'],19106719,kellerdutoo,NEU,0.8568075895309448
448276249752788992,2267333833,448110947937165312,@MAS,2014-03-25T01:52:41.000Z,['448276249752788992'],19106719,jubinmathew008,NEU,0.9518000483512878
448270184722092033,406290393,448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
&amp; condolences 2 every1 affected by #MH370 tragedy"" at least families can now hv closure",2014-03-25T01:28:35.000Z,['448270184722092033'],19106719,bevng1971,POS,0.5371495485305786
448267668307460096,252150806,448110947937165312,@MAS How the hell does something like this happen! My heart breaks for the families &amp; passengers. Just awful! I can't believe it! 💔😢,2014-03-25T01:18:35.000Z,['448267668307460096'],19106719,RubyTeuzday,NEG,0.98509281873703
448223155467726849,1354118108,448110947937165312,@MAS MAS as international carrier and reputable airline should make an all out check up on all their aircraft captains and co-pilots!,2014-03-24T22:21:42.000Z,['448223155467726849'],19106719,yem0462,NEU,0.8818444609642029
448220031009456129,43964874,448110947937165312,@MAS keep working to FIND IT!! Closure would be the best gift you could give the families #M370,2014-03-24T22:09:17.000Z,['448220031009456129'],19106719,poliquest,POS,0.6492363810539246
448197104293658626,411659444,448110947937165312,@MAS your murders,2014-03-24T20:38:11.000Z,['448197104293658626'],19106719,kidinamoto,NEG,0.9774917960166931
448192162467823616,155136946,448110947937165312,@MAS :( my condolences to all affected n their family n frnds!! RIP!,2014-03-24T20:18:33.000Z,['448192162467823616'],19106719,ChikooA1,NEG,0.9560285210609436
448182014337089536,212544783,448110947937165312,@MAS what are you trying to hide?,2014-03-24T19:38:13.000Z,['448182014337089536'],19106719,Weiyi_Wu,NEU,0.9610066413879395
448157289422540800,1275678547,448110947937165312,"@MAS what we need more is clear, logic, and complete chain of truth and proofs.",2014-03-24T17:59:58.000Z,['448157289422540800'],19106719,maoliang900824,NEU,0.96189945936203
448139461969604608,50731557,448110947937165312,@MAS heart breaking so sad #crying,2014-03-24T16:49:08.000Z,['448139461969604608'],19106719,idworld1975,NEG,0.9825401902198792
