conversation_id,id,text,in_reply_to_user_id,author_id,created_at,edit_history_tweet_ids,author_name,label,score
446210444110225409,446573209870012416,"@MAS https://t.co/v3vvo68rcM

This Is MH370 ??",19106719,2336268686,2014-03-20T09:05:24.000Z,['446573209870012416'],ZakioRonaldo7,NEU,0.9802283644676208
446210444110225409,446555627737722880,"@MAS 
 Please check my analyses.
 
 00476 614 815   &amp; home 0032 (3) 237 38 14.
 Frank Geerts Belgium Antwerp. http://t.co/qdkc6sOqmF",19106719,2392634342,2014-03-20T07:55:33.000Z,['446555627737722880'],Frank82592468,NEU,0.9790038466453552
446210444110225409,446482790205251585,@MAS Gak punya malu kau ya . uda dibantu sama indonesia masih tetep aja nuduh indonesia aja anjingxx luu,19106719,1437265453,2014-03-20T03:06:07.000Z,['446482790205251585'],arief_thoha,NEU,0.9659461975097656
446210444110225409,446472045413404672,@MAS you cheap bastards! You should have had updated technology!,19106719,330621680,2014-03-20T02:23:25.000Z,['446472045413404672'],FamilyPrac64,NEG,0.9849586486816406
446210444110225409,446471684824907776,@MAS update? Someone should walk in with a bat and hit the ceo of your airline over the head! He needs an update! Morons!,19106719,330621680,2014-03-20T02:21:59.000Z,['446471684824907776'],FamilyPrac64,NEG,0.984886109828949
446210444110225409,446441088199692288,@mas great keep on search FACEBOOK LARICCIA NELSON INFO CLUES @flypal,19106719,223171129,2014-03-20T00:20:24.000Z,['446441088199692288'],nelsonlariccia,POS,0.6942686438560486
446210444110225409,446366546047537152,@MAS When will Malaysian Airlines present excuses to #MH370 Crying Families brutalised by Malaysian Police at Press Conference??@France2tv,19106719,1167310548,2014-03-19T19:24:12.000Z,['446366546047537152'],fjlsouty,NEG,0.870263397693634
446210444110225409,446357756497235968,@MAS,19106719,1394844276,2014-03-19T18:49:16.000Z,['446357756497235968'],yuaysh,NEU,0.9518000483512878
446210444110225409,446346836232929280,@MAS Where is everyone miserable plane of fallen or was kidnapped or taken hostage for what was? Follow we,19106719,2398220780,2014-03-19T18:05:53.000Z,['446346836232929280'],malaysiaairlin4,NEG,0.9804182052612305
446210444110225409,446325498059423744,@mas let those families who have loved ones on that plane speak to the tv media its not criminal,19106719,1898344292,2014-03-19T16:41:05.000Z,['446325498059423744'],jennaharris2012,NEU,0.9252264499664307
446210444110225409,446324821774049280,@mas why will #@mas not let the families who have loved on thr missing plane speak to media what is #mas not saying,19106719,1898344292,2014-03-19T16:38:24.000Z,['446324821774049280'],jennaharris2012,NEU,0.6347428560256958
446210444110225409,446321306557231105,@MAS http://t.co/WzVYHyLO0x,19106719,1244769426,2014-03-19T16:24:26.000Z,['446321306557231105'],kelokatongo,NEU,0.9414740204811096
446210444110225409,446320066938671106,@MAS #MASalert focus now @ 44.58n 45.75e,19106719,1947883303,2014-03-19T16:19:30.000Z,['446320066938671106'],AvremelNowMoshi,NEU,0.9768152236938477
446210444110225409,446285798195740673,@MAS #MASalert search denver Indianapolis,19106719,1947883303,2014-03-19T14:03:20.000Z,['446285798195740673'],AvremelNowMoshi,NEU,0.9805918335914612
446210444110225409,446282161889763328,"@MAS you're doing everything you can?? Dragging relatives away, stopping them talking after briefings! http://t.co/FhW6Vb1GK6 #MH370 #classy",19106719,288230891,2014-03-19T13:48:53.000Z,['446282161889763328'],ben2682,NEG,0.9675699472427368
446210444110225409,446252462593167360,@MAS skenario MH370 kehilangan mesin pendorong kiri mnjd jwbn atas perubhn lntasan&amp;putus kontak dgn cepat.prbatsan laos vietnam-sktr donghoi,19106719,2239087164,2014-03-19T11:50:52.000Z,['446252462593167360'],360yadi,NEU,0.9672631621360779
446210444110225409,446229102110851072,@MAS cuatro dias atras dije que el avion MH370 esta en la isla north sentinel island serca de malasia,19106719,1346264641,2014-03-19T10:18:03.000Z,['446229102110851072'],hugoflores3600,NEU,0.9744572043418884
446210444110225409,446217371980529664,@MAS cant access,19106719,52969719,2014-03-19T09:31:26.000Z,['446217371980529664'],taroathirah,NEG,0.8111957907676697
446210444110225409,446216285282516992,Pray for safe finding MH370 “@MAS: [#MASalert] We will proactively provide updates to MH370 family members - http://t.co/mEEWGIGATF”,19106719,1004040782,2014-03-19T09:27:07.000Z,['446216285282516992'],byuliart,NEU,0.5402581095695496
446210444110225409,446216248997580800,".@MAS you should tweet about other trends happening in your airline,&amp; not just about missing plane. It's essential 4 your public image.",19106719,125995161,2014-03-19T09:26:58.000Z,['446216248997580800'],indira32,NEU,0.8970144987106323
446210444110225409,446211049390211074,@MAS providing updates almost 10dys nw. Provide them actually updates unlike wht u guys dng nw. Or hndovr the case 2othrs,19106719,98401983,2014-03-19T09:06:19.000Z,['446211049390211074'],waseemwsm,NEG,0.5785978436470032
