edit_history_tweet_ids,id,text,author_id,created_at,conversation_id,in_reply_to_user_id,author_name,label,score
['451856598210588672'],451856598210588672,@MAS,1957779804,2014-04-03T22:59:42.000Z,450940300588900352,19106719,OracleL1nk3r,NEU,0.9518000483512878
['451594775418773504'],451594775418773504,@MAS Search MH370 here... http://t.co/dhFC5BLI6g,314431933,2014-04-03T05:39:19.000Z,450940300588900352,19106719,Buddhitakso,NEU,0.9783122539520264
['451248218928455680'],451248218928455680,"@MAS have you check MH370 at : 7 degrees north latitude 47'47 .90 ""East Longitude 105 degrees 13'39 .59"" Elevation - 30m. Eye height 5 m.",181391191,2014-04-02T06:42:13.000Z,450940300588900352,19106719,IKRAAM_,NEU,0.9819946885108948
['451235021349597185'],451235021349597185,@MAS,1394844276,2014-04-02T05:49:47.000Z,450940300588900352,19106719,yuaysh,NEU,0.9518000483512878
['451163624099164160'],451163624099164160,"@MAS #MASalert try to find the plane in. Namibia , zimbabwe",2170632578,2014-04-02T01:06:04.000Z,450940300588900352,19106719,MrPsycologic,NEU,0.9617051482200623
['451142805297967104'],451142805297967104,"@MAS gee, it's only been a month! You guys are a bunch of assholes! I hope you go out of buisiness",330621680,2014-04-01T23:43:21.000Z,450940300588900352,19106719,FamilyPrac64,NEG,0.9850624799728394
['451001096710787072'],451001096710787072,.@MAS Now why was this held for more than THREE WEEKS if there was nothing unusual?  What else hasn't been released? #MH370,197958177,2014-04-01T14:20:15.000Z,450940300588900352,19106719,kyletiney,NEG,0.8136728405952454
['450963630704435200'],450963630704435200,@MAS America malaysian Airlines are to our twitters . Ask them what really Happened with flight 370 with 239 Human being on it .,747599983,2014-04-01T11:51:22.000Z,450940300588900352,19106719,Obama26Obama,NEU,0.8795308470726013
['450963126976929792'],450963126976929792,@MAS what really happened with flight 370 with 239 Human being on B ? How does you all feeling if you are were family of those lost one ?,747599983,2014-04-01T11:49:22.000Z,450940300588900352,19106719,Obama26Obama,NEU,0.759550154209137
['450962605343924225'],450962605343924225,@MAS why you all lying to those family lost the love one ? Why you all don't tell them truth what really happened with the flight 370 ?,747599983,2014-04-01T11:47:18.000Z,450940300588900352,19106719,Obama26Obama,NEG,0.9835221767425537
['450962254066757632'],450962254066757632,@MAS how the flight 370 crashed 3000 miles from kuala L to southern Indian sea ? Hove you find any part of flight 370 ? No stop lying,747599983,2014-04-01T11:45:54.000Z,450940300588900352,19106719,Obama26Obama,NEG,0.9713436365127563
['450961432168112128'],450961432168112128,@MAS we are all Praying some answer will come for the poor families...,2313132087,2014-04-01T11:42:38.000Z,450940300588900352,19106719,ChristineStergi,NEU,0.5369217395782471
['450961191532118016'],450961191532118016,@MAS how we the people know Iran and his terrorist country friends highjacked the flight 370 ? We pray for the 239 passenger on plane,747599983,2014-04-01T11:41:41.000Z,450940300588900352,19106719,Obama26Obama,NEG,0.8553551435470581
['450960747854458881'],450960747854458881,"@MAS we hold Iran responsible every major Terrorist attack in whole wild world . Don,t you all think so?",747599983,2014-04-01T11:39:55.000Z,450940300588900352,19106719,Obama26Obama,NEG,0.9238735437393188
['450960340876935169'],450960340876935169,"@MAS flight 370 pilot was Muslim co- pilot was a Muslim don,t you all think so maybe Plane didn't crashed ?",747599983,2014-04-01T11:38:18.000Z,450940300588900352,19106719,Obama26Obama,NEU,0.9367382526397705
['450959877712535553'],450959877712535553,@MAS we feel sorry for the family of lost one . How long going spending money search a sea? 10 more days black box going dead.,747599983,2014-04-01T11:36:27.000Z,450940300588900352,19106719,Obama26Obama,NEG,0.9828498959541321
['450959176194207744'],450959176194207744,"@MAS there is a Good possibility flight 370 been highjacked , don't you all think so? Don't you think this is a time to ask Terrorist countr",747599983,2014-04-01T11:33:40.000Z,450940300588900352,19106719,Obama26Obama,NEG,0.7354671359062195
['450958600630857729'],450958600630857729,@MAS how long you all going to search sea? How nice people you all can be not to ask Terrorist country like Iran where is flight 370?,747599983,2014-04-01T11:31:23.000Z,450940300588900352,19106719,Obama26Obama,NEU,0.5591365694999695
['450958157972402176'],450958157972402176,@MAS ask Iran . Hezbollah . Hamas Muslim country where is flight 370 . They may help you to find a plane,747599983,2014-04-01T11:29:37.000Z,450940300588900352,19106719,Obama26Obama,NEU,0.9170758128166199
['450957442449281024'],450957442449281024,@MAS how smart you guys are ? There is no avanance show plane went done in sea . Why you all don't ask some of the Muslim country where is,747599983,2014-04-01T11:26:47.000Z,450940300588900352,19106719,Obama26Obama,NEU,0.5139980316162109
['450952823962746880'],450952823962746880,"@MAS Sayunya.Apa pun saya pasti uncle Zaharie, Fariq dan anak kapal pasti utamakan keselamatan penumpang kerana mereka yang terbaik.♥MAS",2177672006,2014-04-01T11:08:26.000Z,450940300588900352,19106719,ZairinIsmail,NEU,0.9738845229148865
['450946394803556352'],450946394803556352,@MAS Malaysian Flight (MH370) mishap debris spotted near to McDonald Kerguelen Island.   http://t.co/hcB1x2bHjC,138395287,2014-04-01T10:42:53.000Z,450940300588900352,19106719,l2ddigital,NEU,0.5404695868492126
