created_at,in_reply_to_user_id,author_id,conversation_id,id,edit_history_tweet_ids,text,author_name,label,score
2014-03-24T06:18:41.000Z,19106719,496553009,447943040208875521,447980804069535745,['447980804069535745'],@MAS this flight (MH066) went to Seoul International Airport  or Jeju International Airport???,Mr_Froogy,NEU,0.9830328822135925
2014-03-24T06:14:52.000Z,19106719,2267433624,447943040208875521,447979842210766848,['447979842210766848'],@MAS omg,eric_chuah96,POS,0.8707899451255798
2014-03-24T05:20:21.000Z,19106719,864233112,447943040208875521,447966122181025792,['447966122181025792'],MEDIA STATEMENT via @MAS of MH066 (KUL-ICN) Diversion released at 11:30am/24 Mar 2014 - http://t.co/S7didcdj9v,tomkorocz,NEU,0.9785308241844177
2014-03-24T05:11:05.000Z,19106719,309483282,447943040208875521,447963792782397440,['447963792782397440'],Another one! WTF: MT @MAS Malaysia Airlines [#MASalert] Media Statement of MH066 (KUL-ICN) Diversion Mar 2014 - http://t.co/5Owz2ekmoo,SoxOnTheBrain,NEU,0.9577063918113708
2014-03-24T04:53:02.000Z,19106719,56020678,447943040208875521,447959248492720129,['447959248492720129'],"@MAS keep strong, you are marvelous.",JUANOMORA,POS,0.9123594760894775
2014-03-24T04:21:42.000Z,19106719,121306914,447943040208875521,447951366523060224,['447951366523060224'],@MAS Nepal now Korea next? Bad omen? Keep up the hard work!,juarezfong,NEG,0.7596660852432251
2014-03-24T04:10:05.000Z,19106719,2407521174,447943040208875521,447948440442380288,['447948440442380288'],"@MAS Hello Afternoon Mrs/Ms,when interview for cabin crew?or stewarder?",JohnyNobody2209,NEU,0.9683742523193359
2014-03-24T03:55:38.000Z,19106719,14823017,447943040208875521,447944805092306945,['447944805092306945'],मलेसिया एयलाइन्सलाई दशा लागेछ कोरिया उडेको HK उत्रेछ “@MAS: Media Statement of MH066 (KUL-ICN) Diversion - http://t.co/Y1lSLMwFxu”,salokya,NEU,0.958371102809906
2014-03-24T03:55:37.000Z,19106719,121037231,447943040208875521,447944800231124992,['447944800231124992'],is this signal for me to stay put this year?? “@MAS [#MASalert] Media Statement of MH066 (KUL-ICN) ... http://t.co/Ubt56zNUCJ,ShafiDaiSy,NEU,0.9648854732513428
2014-03-24T03:52:18.000Z,19106719,330504751,447943040208875521,447943967846723585,['447943967846723585'],RT @MAS: [#MASalert] Media Statement of MH066 (KUL-ICN) Diversion released at 11:30am/24 Mar 2014 - http://t.co/yey3kd8NWV,AirlineGeeks,NEU,0.980635941028595
2014-03-24T03:51:01.000Z,19106719,37595323,447943040208875521,447943644499046400,['447943644499046400'],“@MAS: [#MASalert] Media Statement of MH066 (KUL-ICN) Diversion released at 11:30am/24 Mar 2014 - http://t.co/7qG2H0b3Za”,anchovies23,NEU,0.9804598093032837
2014-03-24T03:50:49.000Z,19106719,60409329,447943040208875521,447943592913694720,['447943592913694720'],“@MAS: [#MASalert] Media Statement of MH066 (KUL-ICN) Diversion released at 11:30am/24 Mar 2014 - http://t.co/0SOL8ZGQ2T”// WTF,raticio,NEU,0.9813873767852783
