author_id,id,conversation_id,created_at,in_reply_to_user_id,edit_history_tweet_ids,text,author_name,label,score
1550526685,443675188149116929,442831647566602240,2014-03-12T09:09:42.000Z,19106719,['443675188149116929'],@mas please find me on beach help,romlieomiee,POS,0.5449445247650146
2273714923,442959540124786688,442831647566602240,2014-03-10T09:45:58.000Z,19106719,['442959540124786688'],@MAS,syahira64695398,NEU,0.9518000483512878
1553101764,442942773981741056,442831647566602240,2014-03-10T08:39:21.000Z,19106719,['442942773981741056'],@MAS pray for MH370,intansikodok,NEU,0.9553471207618713
341496045,442932682331127808,442831647566602240,2014-03-10T07:59:15.000Z,19106719,['442932682331127808'],@MAS is a submarine send to help it search under water?,MStarger,NEU,0.972785234451294
945496596,442901781568163840,442831647566602240,2014-03-10T05:56:28.000Z,19106719,['442901781568163840'],@MAS pray for MH 0370,RizalDeean,NEU,0.9785324335098267
10959642,442873980559450112,442831647566602240,2014-03-10T04:05:59.000Z,19106719,['442873980559450112'],@MAS why are you continuing to use MH370 for new flights? I hope it was an oversight.,tara,NEG,0.8802193999290466
310156151,442862869554556929,442831647566602240,2014-03-10T03:21:50.000Z,19106719,['442862869554556929'],@MAS @bernamadotcom over 50hrs #PrayForMH370 been missing but no signs where's the fleet gone,moulmz,NEG,0.6019310355186462
144074849,442856627738136576,442831647566602240,2014-03-10T02:57:02.000Z,19106719,['442856627738136576'],"@MAS Pray for the the safety of the Search &amp; rescue team, pray for the passangger, &amp; all the crew of MH370.",PaiLanTun,NEU,0.8232496976852417
1863162966,442856022961446912,442831647566602240,2014-03-10T02:54:38.000Z,19106719,['442856022961446912'],@MAS it's so hard to think of what has actually happened to the people on board if the plane disintegrated mid air...,mike8luk,NEG,0.739293098449707
163981893,442855498413383680,442831647566602240,2014-03-10T02:52:33.000Z,19106719,['442855498413383680'],@MAS @MissDiagnosis thoughts with all at Malaysian Airlines and family members #malaysiancrash,SenJaffer,NEU,0.8208339810371399
163981893,442855337184329728,442831647566602240,2014-03-10T02:51:54.000Z,19106719,['442855337184329728'],“@MAS: As the day starts search &amp; rescue operations continue to locate MH370. Our thoughts are with those involved,SenJaffer,NEU,0.9487190246582031
1863162966,442855011672801280,442831647566602240,2014-03-10T02:50:37.000Z,19106719,['442855011672801280'],@MAS @vargasmoni I hope this story gets resolved and will not remain a complete mystery.,mike8luk,NEU,0.8333514332771301
14185058,442853575627374592,442831647566602240,2014-03-10T02:44:54.000Z,19106719,['442853575627374592'],“@MAS: ...search &amp; rescue operations continue to locate MH370. Our thoughts are with those involved as we wait for further updates.”,SFDoug,NEU,0.9490064978599548
129623598,442838472840081408,442831647566602240,2014-03-10T01:44:54.000Z,19106719,['442838472840081408'],@MAS Thank you very much for the much needed update. Please find and save all the survivors if possible,Wrx571,POS,0.8987323045730591
2177255611,442836650792460288,442831647566602240,2014-03-10T01:37:39.000Z,19106719,['442836650792460288'],@MAS we have different news from the other countries....anyway just wait for the updates,Bigtanak,NEU,0.9507712125778198
46182188,442834977655648256,442831647566602240,2014-03-10T01:31:00.000Z,19106719,['442834977655648256'],“@MAS: As the day starts search &amp; rescue operations continue to locate MH370. Our thoughts are with those involved as we wait for further,AmreiGold,NEU,0.9554779529571533
2271510282,442833806395858945,442831647566602240,2014-03-10T01:26:21.000Z,19106719,['442833806395858945'],@MAS #PrayForMH370,annie_tan88,NEU,0.9503908753395081
2343549175,442833210196520960,442831647566602240,2014-03-10T01:23:59.000Z,19106719,['442833210196520960'],"@mas ada warga kami, indonesia berapa orang di pesawat tsb???",TheInnu,NEU,0.9762933254241943
44117760,442833080844181505,442831647566602240,2014-03-10T01:23:28.000Z,19106719,['442833080844181505'],@MAS When is the next press conference?,indie17,NEU,0.9652907252311707
120554393,442832812753043456,442831647566602240,2014-03-10T01:22:24.000Z,19106719,['442832812753043456'],@MAS @BBCBreaking  @MH370 thoughts and prayers to all on board and their families and services involved in rescue/investigation efforts,IamCal75,NEU,0.8529673218727112
2182498362,442831890651701248,442831647566602240,2014-03-10T01:18:44.000Z,19106719,['442831890651701248'],"@MAS PRAY, MORE.......",iw_sby,NEU,0.9646068811416626
