id,author_id,conversation_id,text,created_at,edit_history_tweet_ids,in_reply_to_user_id,author_name,label,score
443248836933189632,38349485,442660412232716288,"“@MAS: At this point, no further developments regarding MH370 has been confirmed. waiting 4 new updates from DCA on the SAR efforts.”  #fb",2014-03-11T04:55:32.000Z,['443248836933189632'],19106719,leroyng,NEU,0.9712456464767456
442963141253537792,357544363,442660412232716288,@MAS train the officer's to use better English..speak in conference like market people...,2014-03-10T10:00:17.000Z,['442963141253537792'],19106719,Gunascooby,NEU,0.7532864212989807
442859375573467136,1440714804,442660412232716288,@MAS @TeamMsia sedih,2014-03-10T03:07:57.000Z,['442859375573467136'],19106719,afiqloveadriana,NEU,0.8734884858131409
442829107550617600,80460341,442660412232716288,เวลาผ่านไปกว่า 11 ชั่วโมงแล้ว ที่ @MAS Malaysia Airlines ยังไม่ให้ข้อมูลใดๆเพิ่มเติม,2014-03-10T01:07:41.000Z,['442829107550617600'],19106719,LiShuhui,NEU,0.9632577300071716
442828042831138816,2322425855,442660412232716288,@MAS prayers goes out to MH370 from London. Gutted when I read the news !,2014-03-10T01:03:27.000Z,['442828042831138816'],19106719,scoffina,NEU,0.751446545124054
442827682330333184,1942400095,442660412232716288,@MAS Hi im Uma frm KL kepong ...pray for MH 370..come bck well,2014-03-10T01:02:01.000Z,['442827682330333184'],19106719,umasweet80,POS,0.6069201827049255
442798129687953409,452718417,442660412232716288,"--&gt;&gt; @MAS: At this point, no further developments regarding MH370 has been confirmed. We are waiting for new updates from DCA,,,,",2014-03-09T23:04:35.000Z,['442798129687953409'],19106719,JohnVassNascar,NEU,0.9669638872146606
442734118548561921,74909158,442660412232716288,@MAS We are with you MAS....our endless  prayers for MH370,2014-03-09T18:50:14.000Z,['442734118548561921'],19106719,VizaGeek,POS,0.6371580958366394
442733266940866561,44878964,442660412232716288,@MAS don't make me speculate it's about hiding something conspiracy 😶,2014-03-09T18:46:51.000Z,['442733266940866561'],19106719,misstillana,NEG,0.6083718538284302
442733101584629761,44878964,442660412232716288,"@MAS I thought that check CCTV about fake passengers is the first thing to do, are yours is broken? I don't hear about this on every news",2014-03-09T18:46:11.000Z,['442733101584629761'],19106719,misstillana,NEG,0.9126969575881958
442731647302402049,42009605,442660412232716288,"@MAS Please check this out search this 8.695133, 106.590416 on google map now. Someone on twitter found this. http://t.co/OAodtfwRDp",2014-03-09T18:40:24.000Z,['442731647302402049'],19106719,BettinevdH,NEU,0.9725268483161926
442713458547507200,171764808,442660412232716288,@MAS YOU ARE A FUCKING JOKE,2014-03-09T17:28:08.000Z,['442713458547507200'],19106719,laluxdev,NEG,0.9831832647323608
442710834255380481,288568275,442660412232716288,@MAS most of the passengers would have a mobile phone. Ever thought of locating the mobile phones through GPS like a lost iphone or Android?,2014-03-09T17:17:42.000Z,['442710834255380481'],19106719,azmiparis,NEU,0.8493515849113464
