conversation_id,id,text,in_reply_to_user_id,author_id,created_at,edit_history_tweet_ids,author_name,label,score
442935028704497664,451690677517045760,"@MAS tolong buat benda ni, kalau kita berusaha, allah pasti akan tolong, demi MH370 http://t.co/ZJEEaQoxyH",19106719,1637874146,2014-04-03T12:00:24.000Z,['451690677517045760'],AizulRisyam,NEU,0.9688197374343872
442935028704497664,443014790441467905,@MAS my favourite trip or place,19106719,2382112260,2014-03-10T13:25:31.000Z,['443014790441467905'],sranveer3,POS,0.9888890981674194
442935028704497664,442956008680218625,"@MAS truly sorry it just came across my mind,  #MH370 might have been kidnapped by #ufo #BelieveItOrNot as #ufo is undetectable with radar",19106719,61081477,2014-03-10T09:31:56.000Z,['442956008680218625'],translatorbali,NEG,0.8407771587371826
442935028704497664,442955167176986624,@MAS after 3 days the people affected by this tragedy need more than a diplomatic response. #PrayForMH370,19106719,236865979,2014-03-10T09:28:36.000Z,['442955167176986624'],JG_82,NEU,0.7685328722000122
442935028704497664,442948586041384960,"@MAS Im an Airline Manager from India. Just a piece of v impt advise - please check &amp; cross check your no-shows, gate no-shows &amp; bag details",19106719,103043054,2014-03-10T09:02:27.000Z,['442948586041384960'],SKRahman,NEU,0.877056896686554
442935028704497664,442946354491301888,"@MAS Can you confirm, that the ticket of the person travelling with the australian passport on #MH370 was directed to Frankfurt/Germany?",19106719,1374400544,2014-03-10T08:53:35.000Z,['442946354491301888'],J_Kreller,NEU,0.9783288240432739
442935028704497664,442944475434713088,@MAS,19106719,2362782583,2014-03-10T08:46:07.000Z,['442944475434713088'],MdRosnah,NEU,0.9518000483512878
442935028704497664,442943962391666688,@MAS. Where is mh 370,19106719,2344960482,2014-03-10T08:44:04.000Z,['442943962391666688'],Andrian10466636,NEU,0.8664620518684387
442935028704497664,442943664017248256,@MAS,19106719,636141169,2014-03-10T08:42:53.000Z,['442943664017248256'],ErulPurple,NEU,0.9518000483512878
442935028704497664,442942002208837632,@MAS Saw a video of a relative ringing someone's phone on the plane. Can't that signal be used to track the plane?,19106719,1028402084,2014-03-10T08:36:17.000Z,['442942002208837632'],Teekkayy,NEU,0.5527898669242859
442935028704497664,442939535698059265,@MAS سبحناالله. مها سوچي الله. الله لبه معتهواي.,19106719,1062268208,2014-03-10T08:26:29.000Z,['442939535698059265'],AdzlanA,NEU,0.9596726298332214
442935028704497664,442936452549054464,@MAS pray for the best !,19106719,253089737,2014-03-10T08:14:14.000Z,['442936452549054464'],eyemed,POS,0.951844334602356
442935028704497664,442935201027461120,@MAS bravo!,19106719,58410452,2014-03-10T08:09:15.000Z,['442935201027461120'],ramblingpc,POS,0.9913874268531799
