conversation_id,id,text,in_reply_to_user_id,author_id,created_at,edit_history_tweet_ids,author_name,label,score
442961134870474752,443063851391524865,@MAS guys and girls. Do not add pressures. Let them do what they need to do. Stop all your assumption. Put yourselves in their shoes.,19106719,83403638,2014-03-10T16:40:28.000Z,['443063851391524865'],ChaozCrazee,NEG,0.931248664855957
442961134870474752,443044583216148480,@MAS is there any new update ?,19106719,273844019,2014-03-10T15:23:54.000Z,['443044583216148480'],sushbhattarai,NEU,0.9744598269462585
442961134870474752,443020651113111553,@MAS  did anyone ask captain's friends &amp; bahavioral scientists on  what he may do or leave msgs in time of crisis.,19106719,2374634694,2014-03-10T13:48:48.000Z,['443020651113111553'],drmasmohdd,NEU,0.945274829864502
442961134870474752,443011462643318784,@MAS @ntsb @DHSgov USA MIA NAP DESTINATIONS SEE KUL PEK AWARE MR.PERKINS US CONSULATE AT NAPLES ITALY PEK RINS INS USA!FACEBOOK @united FCO,19106719,223171129,2014-03-10T13:12:18.000Z,['443011462643318784'],nelsonlariccia,NEU,0.9780598282814026
442961134870474752,442985008873996288,"@MAS sama2 kita berdoa.. MAS tak senyap, MAS n team sedang b'kerja keras. Dont blame them.",19106719,100687098,2014-03-10T11:27:11.000Z,['442985008873996288'],SelamatPalestin,NEU,0.8696908354759216
442961134870474752,442978991092162560,@MAS senyaplaaaaa,19106719,2265354584,2014-03-10T11:03:16.000Z,['442978991092162560'],wrdafrsya,NEU,0.9671287536621094
442961134870474752,442974735287476224,@MAS Thank You So Much for the thorough update.You are doing a very admirable job in this very troubled time&amp;it is much appreciated.,19106719,867725665,2014-03-10T10:46:21.000Z,['442974735287476224'],ImTheMom_TaDa,POS,0.9867798686027527
442961134870474752,442965305065619456,@MAS  Amen we shall continue praying for the mh 370,19106719,2200309046,2014-03-10T10:08:53.000Z,['442965305065619456'],chrizcruz1932,POS,0.6549279689788818
442961134870474752,442963627164049408,@MAS Did you find something?,19106719,515744457,2014-03-10T10:02:13.000Z,['442963627164049408'],dusekov88,NEU,0.9754167199134827
442961134870474752,442962991898570752,#MalaysiaAirlines  Alle 17:30 Nuovo  Comunicato dellaEOC (EmergencyOperationsCenter) #aereo #tragedia #Asia (@MAS) http://t.co/nT8L5UJj5K,19106719,118284260,2014-03-10T09:59:41.000Z,['442962991898570752'],photob3u2,NEU,0.9710776805877686
