created_at,author_id,id,conversation_id,edit_history_tweet_ids,in_reply_to_user_id,text,author_name,label,score
2014-03-11T13:16:31.000Z,1928799600,443374911751340034,442556395502571520,['443374911751340034'],19106719,@MAS @TinaBrownLM that was two days ago,CClinchard,NEU,0.9820433259010315
2014-03-11T02:25:21.000Z,1977087925,443211043288801280,442556395502571520,['443211043288801280'],19106719,"“@MAS: [#MASalert] As the hours turn into days, we truly appreciate the patience, support &amp; prayers from everyone - http://t.co/iiIQML636k”",cristinejoybian,POS,0.9730046987533569
2014-03-11T02:08:12.000Z,171553344,443206727891046400,442556395502571520,['443206727891046400'],19106719,@MAS You have served many well &amp; this unfortunate incident could have happened to the best of airlines. We pray likewise for your team! 🙏✈️,AngeliPV,NEU,0.5237667560577393
2014-03-09T16:52:46.000Z,1179679986,442704560579018752,442556395502571520,['442704560579018752'],19106719,@MAS plz pray solat hajat.....,JaisAzman,NEU,0.9744786024093628
2014-03-09T13:23:52.000Z,242458567,442651988283916288,442556395502571520,['442651988283916288'],19106719,"“@MAS: [#MASalert] As the hours turn into days, we truly appreciate the patience, support &amp; prayers from everyone - http://t.co/G5fZgJQ70c”",briandessart,POS,0.974733829498291
2014-03-09T08:57:56.000Z,170977661,442585064673517568,442556395502571520,['442585064673517568'],19106719,@MAS Amen,nfakurazi,NEU,0.5531694293022156
2014-03-09T08:55:02.000Z,1632951818,442584332985577474,442556395502571520,['442584332985577474'],19106719,@MAS all of the chinese people are waiting 。。。。pray,doumotoeikou,NEU,0.9748548865318298
2014-03-09T08:41:19.000Z,722336826,442580881819963392,442556395502571520,['442580881819963392'],19106719,@MAS. pray for everyone on board,MakeChange007,NEU,0.8643713593482971
2014-03-09T08:35:46.000Z,623596321,442579484630204416,442556395502571520,['442579484630204416'],19106719,@MAS i'll pray for the MH370,NorSyahidan,NEU,0.8869263529777527
2014-03-09T08:21:39.000Z,16674250,442575933518934016,442556395502571520,['442575933518934016'],19106719,"that's why I hate flying “@MAS: As the hours turn into days, we truly appreciate the prayers from everyone-http://t.co/hwsI9slYE6”",odrida,NEG,0.6316310167312622
2014-03-09T08:02:36.000Z,165033015,442571139189981184,442556395502571520,['442571139189981184'],19106719,"@MAS Alhamdulillah, good job.",atiqahsapphire,POS,0.9865124225616455
2014-03-09T07:57:33.000Z,44318793,442569867879665664,442556395502571520,['442569867879665664'],19106719,@MAS Don't aircraft blackboxes have GPS tracking devices?,davedwyervideo,NEU,0.9635543823242188
2014-03-09T07:41:27.000Z,87670853,442565814382641152,442556395502571520,['442565814382641152'],19106719,"“@MAS: [#MASalert] As the hours turn into days, we truly appreciate the patience, support &amp; prayers fr evryone - http://t.co/JAZNJweBpN”#fb",husainibrahim,POS,0.9671546220779419
2014-03-09T07:36:37.000Z,611926602,442564597568897024,442556395502571520,['442564597568897024'],19106719,@MAS please update for more information to public,MohamadHakimiAz,NEU,0.9557965993881226
2014-03-09T07:33:13.000Z,9995642,442563744246149120,442556395502571520,['442563744246149120'],19106719,"“@MAS: [#MASalert] As the hours turn into days, we truly appreciate the patience, support &amp; prayers from everyone http://t.co/64BDgzfDiy” 🙏",gxrychxn,POS,0.9764335751533508
2014-03-09T07:32:21.000Z,2283681109,442563524452044800,442556395502571520,['442563524452044800'],19106719,@MAS updated info about the missing airplane??,IamJeromeJr_,NEU,0.8435544371604919
2014-03-09T07:18:57.000Z,1066387134,442560153099857920,442556395502571520,['442560153099857920'],19106719,@MAS #PrayForMH370  :'(,fireplace_424,NEG,0.8423244953155518
2014-03-09T07:16:40.000Z,129441186,442559578853490688,442556395502571520,['442559578853490688'],19106719,"@MAS from one airline employee to another, my thoughts are with all of you, and you're doing an excellent job with communications.",PearlsandPoets,POS,0.9871101379394531
2014-03-09T07:14:02.000Z,2257828531,442558917483446272,442556395502571520,['442558917483446272'],19106719,@MAS ....😔😔 http://t.co/8P28zV2jc1,carly_marissa19,NEU,0.9758056402206421
2014-03-09T07:13:49.000Z,14543698,442558862479347712,442556395502571520,['442558862479347712'],19106719,@MAS my prayers and sympathy in this terrible time,profMike54,NEG,0.8639255166053772
2014-03-09T07:13:12.000Z,1583393197,442558707314872320,442556395502571520,['442558707314872320'],19106719,@MAS I'm pray to you,ajibgh,POS,0.5087997317314148
2014-03-09T07:07:37.000Z,419993279,442557298943090688,442556395502571520,['442557298943090688'],19106719,"MT""@MAS: [#MASalert] media statement #8. As the hours turn into days... - http://t.co/P1wd4YcyXE”",ellesheepy,NEU,0.9789156317710876
2014-03-09T07:05:33.000Z,2378299093,442556780480958464,442556395502571520,['442556780480958464'],19106719,@MAS yes,anggapr55319389,NEU,0.7295190095901489
