id,conversation_id,edit_history_tweet_ids,author_id,in_reply_to_user_id,created_at,text,author_name,label,score
449171799796768769,448137446446747648,['449171799796768769'],2256018697,19106719,2014-03-27T13:11:16.000Z,@MAS just tell them what was in MH 370 cargo hold.....,Petrossian50,NEU,0.9753864407539368
448422734973128704,448137446446747648,['448422734973128704'],893243186,19106719,2014-03-25T11:34:45.000Z,@MAS it is heartbreaking to see the pain the family members are going through.,elizabe04677109,NEG,0.9788352251052856
448394378327760896,448137446446747648,['448394378327760896'],66019107,19106719,2014-03-25T09:42:05.000Z,"@MAS Everything about the way this entire investigation was handled, from the day it begun until now has been insulting to humanity! #MH370",julzmusic,NEG,0.9767953157424927
448376609662582784,448137446446747648,['448376609662582784'],2396828390,19106719,2014-03-25T08:31:28.000Z,@MAS that's not fair... there's no evidence that they're deep in the ocean...,120Sandra120,NEG,0.9238157272338867
448321223303254017,448137446446747648,['448321223303254017'],79148648,19106719,2014-03-25T04:51:23.000Z,"@MAS 1. Sorrow for MH370. 2. according what B.J habibi said,  exploded MH370 is the most possibility you can research.",eqyelroz,NEG,0.7342596650123596
448305522916065280,448137446446747648,['448305522916065280'],161790707,19106719,2014-03-25T03:49:00.000Z,@MAS by a sms?!!!!!! That's the way???,Pau_Rio,NEU,0.8697371482849121
448303745756319744,448137446446747648,['448303745756319744'],90543426,19106719,2014-03-25T03:41:56.000Z,@MAS  fuck you！,moneky719,NEG,0.9830164313316345
448302628175237120,448137446446747648,['448302628175237120'],2390376698,19106719,2014-03-25T03:37:30.000Z,@MAS @newscomauHQ terrible news,Andrew_NewZero,NEG,0.9809949994087219
448300029674291201,448137446446747648,['448300029674291201'],601759476,19106719,2014-03-25T03:27:10.000Z,assalammu'alaikum @mas .....piye khabare? #apik?,ciloS1,NEU,0.9746869206428528
448299574050832385,448137446446747648,['448299574050832385'],890584542,19106719,2014-03-25T03:25:22.000Z,"@MAS Shame on u! Text messages? After all your omissions, contradictions, lapses, delays, this is how u treat human beings? Shame! #MH370",BelieveInZito,NEG,0.9851348996162415
448267097403957248,448137446446747648,['448267097403957248'],601545960,19106719,2014-03-25T01:16:19.000Z,@MAS bo shit,CharleeTao,NEG,0.9693350195884705
448259624366374912,448137446446747648,['448259624366374912'],2387286374,19106719,2014-03-25T00:46:37.000Z,@MAS we don't believe u!,hwdOlivia,NEG,0.728727400302887
448250986981638144,448137446446747648,['448250986981638144'],41327638,19106719,2014-03-25T00:12:18.000Z,@MAS CNN news is a big liar..,kerenggut,NEG,0.9492823481559753
448248707276738560,448137446446747648,['448248707276738560'],297202823,19106719,2014-03-25T00:03:14.000Z,@MAS should sue @CNN after mission ends,nurulainsili,NEG,0.8396854400634766
448232939101253632,448137446446747648,['448232939101253632'],516195669,19106719,2014-03-24T23:00:35.000Z,How IMPERSONAL &amp; DISRESPECTFUL to notify family members of such tragic news via text message! GET IT TOGETHER @MAS!!!,InkanPrince,NEG,0.9847018122673035
448221580523364353,448137446446747648,['448221580523364353'],185554632,19106719,2014-03-24T22:15:27.000Z,"@MAS To you, sympathy and thoughts on the loss of your loved flight crew.",ZZiillaa,NEU,0.6350643634796143
448214098690719746,448137446446747648,['448214098690719746'],1734116263,19106719,2014-03-24T21:45:43.000Z,"@MAS Text message? really? i want to express my feelings, but i am afraid the world has not yet invented words that i can use to call you.",faraz_ahm,NEU,0.5639045238494873
448208487760551936,448137446446747648,['448208487760551936'],84501333,19106719,2014-03-24T21:23:25.000Z,@MAS such a disgrace! My heart goes out to all of the families,foxeerox,NEG,0.9839522242546082
448196563710398464,448137446446747648,['448196563710398464'],776398058,19106719,2014-03-24T20:36:02.000Z,@MAS anda harus lebih sensitive...!! Ini bukanlah sekedar menyangkut masa depan anda...ada nyawa 239 orang di dalamnya...,DwiTahitu,NEU,0.7455043196678162
448182277282234368,448137446446747648,['448182277282234368'],50591532,19106719,2014-03-24T19:39:16.000Z,@MAS YOU ARE AN ABSOLUTE DISGRACE!WHAT WERE YOU THINKING WHEN SENDING THAT TEXT? YOU TOLD THEM ABOUT THEIR DEATH VIA TEXT MESSAGE!! Disgrace,Chiogonzalezmed,NEG,0.9851669669151306
448182274086146049,448137446446747648,['448182274086146049'],1339437522,19106719,2014-03-24T19:39:15.000Z,"@MAS honestly, I will never ever get on any Malaysian airplane or any Boing 777.",wuchat85,NEG,0.5302096605300903
448174850239373313,448137446446747648,['448174850239373313'],499876766,19106719,2014-03-24T19:09:45.000Z,@MAS,maelmale,NEU,0.9518000483512878
448161571127054336,448137446446747648,['448161571127054336'],83088862,19106719,2014-03-24T18:16:59.000Z,"C.c @HalaGorani @clancycnn RT @MAS: [#MASalert] - http://t.co/pXs6QASSuO""",AZRULamir,NEU,0.9781237244606018
448161233477201920,448137446446747648,['448161233477201920'],1221032390,19106719,2014-03-24T18:15:39.000Z,@MAS,Rohan1808,NEU,0.9518000483512878
448160760938508288,448137446446747648,['448160760938508288'],2313204931,19106719,2014-03-24T18:13:46.000Z,RT “@MAS: [#MASalert] We've provided an update on our communications with the families on this difficult day - http://t.co/HHeLIGGdef”,LillSaleh,NEU,0.9508102536201477
448159199793795072,448137446446747648,['448159199793795072'],319406270,19106719,2014-03-24T18:07:34.000Z,@MAS TRUTH!! PROOF!!,LydiaS_1995,POS,0.9916531443595886
448156758696275968,448137446446747648,['448156758696275968'],17089547,19106719,2014-03-24T17:57:52.000Z,Comunicado oficial del @MAS a los familiares del #MH370 :  http://t.co/beA9LCtiwT,sandraclivati,NEU,0.9748979806900024
448156557478739968,448137446446747648,['448156557478739968'],1275678547,19106719,2014-03-24T17:57:04.000Z,"@MAS why is the plane went a fucking reversed direction for 8 hours? more questions need to be answered, not only the confirmation.",maoliang900824,NEG,0.9802610874176025
448154628526718976,448137446446747648,['448154628526718976'],507919973,19106719,2014-03-24T17:49:24.000Z,@MAS assuming that you sent texts as a last resort...it would have been even worse for families to get first news from media reports MH370,CalmHolmes,NEG,0.8142654299736023
448153975079305216,448137446446747648,['448153975079305216'],1727338038,19106719,2014-03-24T17:46:48.000Z,@MAS shame on you,JerryWSCU,NEG,0.9811035394668579
448153431094870016,448137446446747648,['448153431094870016'],2313132087,19106719,2014-03-24T17:44:38.000Z,@MAS but you have texted the families of the news...that's cold,ChristineStergi,NEG,0.9674699902534485
448149322644070400,448137446446747648,['448149322644070400'],81632884,19106719,2014-03-24T17:28:19.000Z,@MAS it was via text message that you inform mothers your family dissappeared 17 days ago,isituma,NEU,0.5797763466835022
448148889502101505,448137446446747648,['448148889502101505'],53343533,19106719,2014-03-24T17:26:36.000Z,“@MAS: [#MASalert] We've provided an update on our communications with the families on this difficult day - http://t.co/tHoVUCAzfa”,davidputrah,NEU,0.9494720101356506
448148148436090880,448137446446747648,['448148148436090880'],2399178174,19106719,2014-03-24T17:23:39.000Z,@MAS my heart goes out to all those innocent passengers and to all who love them.,LindaMa57666345,POS,0.6173398494720459
448145159968919553,448137446446747648,['448145159968919553'],1280044520,19106719,2014-03-24T17:11:46.000Z,RT @MAS [#MASalert] We've provided an update on our communications with the families on this difficult day - http://t.co/wJnypjlIeZ,vodcakhola,NEU,0.9359695911407471
448144435365543938,448137446446747648,['448144435365543938'],507919973,19106719,2014-03-24T17:08:54.000Z,@MAS gd that you are making public your ongoing efforts to support families &amp; that texts were only one small part of vital communications.,CalmHolmes,NEU,0.5238541960716248
448140787893936128,448137446446747648,['448140787893936128'],19782641,19106719,2014-03-24T16:54:24.000Z,@MAS you told them by SMS?  That's not very compassionate.,yamesh,NEG,0.9176421165466309
448140623275491329,448137446446747648,['448140623275491329'],107608827,19106719,2014-03-24T16:53:45.000Z,“@MAS: [#MASalert] We've provided an update on our communications with the families on this difficult day - http://t.co/n2basfTxDh” #HM370,Daisy1158,NEU,0.9524823427200317
448138186703634432,448137446446747648,['448138186703634432'],6154722,19106719,2014-03-24T16:44:04.000Z,"@MAS By the way why is the url in the announcement labeled as ""dark-site."" Scary enough already with #MH370",desmondj,NEG,0.9702685475349426
448137860919468032,448137446446747648,['448137860919468032'],2406486018,19106719,2014-03-24T16:42:46.000Z,@MAS communicated yes....but what's with the sms....that's nt professional at all...a big no for #MAS anymore..,GKShavin,NEG,0.9813809394836426
