author_id,conversation_id,created_at,edit_history_tweet_ids,in_reply_to_user_id,text,id,author_name,label,score
2417353550,449410572597997569,2014-03-29T12:36:14.000Z,['449887757242880000'],19106719,@MAS  kita rakyat malaysia mendoakan agar kelurga penumpang dan kru mh370 tabah,449887757242880000,sundarhan13,NEU,0.9671419262886047
1882565276,449410572597997569,2014-03-29T02:55:33.000Z,['449741624717750272'],19106719,@MAS BTW I'LL NEVER NEVER BE ONE STEP CLOSER TO UR TERRITORY INCLUDING MALASAYIA AIRLINE,449741624717750272,McAdaMJacOb,NEU,0.6552470922470093
1882565276,449410572597997569,2014-03-29T02:52:00.000Z,['449740730227896320'],19106719,@MAS MH370 WOULD NOT JUST FADE AWAY BY TIME,449740730227896320,McAdaMJacOb,NEU,0.6039273142814636
1882565276,449410572597997569,2014-03-29T02:47:27.000Z,['449739584058818561'],19106719,@MAS DON'T U KNOW HOW IMPORTANT THOSE INFORMATION TO CHINESE????,449739584058818561,McAdaMJacOb,NEU,0.49804559350013733
1882565276,449410572597997569,2014-03-29T02:45:40.000Z,['449739137747124224'],19106719,@MAS AT LEAST WE HAVE TO SEE THE BODYS AND PLANE WHY R U WITH HOLDING SO MANY INFORMATIONS???,449739137747124224,McAdaMJacOb,NEG,0.7038634419441223
1882565276,449410572597997569,2014-03-29T02:41:44.000Z,['449738147300376576'],19106719,@MAS HOW THE HELL U KNOW THAT MH370 CRASHED IN INDIAN OCEAN!!!,449738147300376576,McAdaMJacOb,NEG,0.9803162217140198
2416683217,449410572597997569,2014-03-29T01:07:18.000Z,['449714379806625792'],19106719,@mas hlw,449714379806625792,Jresconde,NEU,0.9756297469139099
88355773,449410572597997569,2014-03-28T17:51:27.000Z,['449604698211762177'],19106719,@MAS There's definitely more to it than what you guys are telling us about MH370 ...why are you withholding information ?,449604698211762177,ssr99,NEG,0.720705509185791
247363042,449410572597997569,2014-03-28T09:55:15.000Z,['449484854703296512'],19106719,"@MAS assalam. sy bersimpati ats tragedi mh370 namun tak mmatahkan smgt sy utk jadi pilot. Btw, MAS ada latih cadet pilot tak ? Bila intake ?",449484854703296512,FitmanMalaysia,NEU,0.9111364483833313
1954347631,449410572597997569,2014-03-28T08:26:15.000Z,['449462458000740352'],19106719,"@MAS demi Allah! MH370 &amp; kotak hitamnya amat mustahil ditemui KECUALI phk korporat bank in RM2juta ke MBB no.156012053926 ,pakar ilmughaib!!",449462458000740352,Muja25W,NEU,0.8831308484077454
1430448282,449410572597997569,2014-03-28T08:10:18.000Z,['449458446278987776'],19106719,"@MAS keep up the good work, the families may not realise it now but they will eventually",449458446278987776,MeiLengChin,POS,0.9859846830368042
1724734003,449410572597997569,2014-03-28T06:20:43.000Z,['449430869108084736'],19106719,@MAS this video should not have been released so soon. It's patronizing and disrespectful to families who are grieving after the incident.,449430869108084736,GreigJDuncan,NEG,0.981779158115387
