author_id,id,conversation_id,created_at,in_reply_to_user_id,edit_history_tweet_ids,text,author_name,label,score
949178058,443473190371606528,443199162876563456,2014-03-11T19:47:02.000Z,19106719,['443473190371606528'],@MAS what's the latest news plz ???,atiasi2,NEU,0.9674690961837769
2215206174,443414736705581057,443199162876563456,2014-03-11T15:54:46.000Z,19106719,['443414736705581057'],@MAS how does an aircraft just disappear ? 4 days.. the mystery continues.,mnlconsultant,NEG,0.9354456663131714
1863377268,443370491685126144,443199162876563456,2014-03-11T12:58:57.000Z,19106719,['443370491685126144'],"@mas plane buried down d sea,bliv me i know it,all passengers are dead,it ws a technical fault,bliv me",Akorcyril,NEG,0.880771815776825
341375644,443363865238048769,443199162876563456,2014-03-11T12:32:37.000Z,19106719,['443363865238048769'],@MAS i hope its nor crash and hope for miracle to happen,beautymall1612,NEU,0.8430262207984924
759441978,443263850003976192,443199162876563456,2014-03-11T05:55:11.000Z,19106719,['443263850003976192'],@MAS hoping it will return,myleong,POS,0.7781862616539001
607068368,443248116163026944,443199162876563456,2014-03-11T04:52:40.000Z,19106719,['443248116163026944'],@MAS so hard to believe.,ZhongLiangLEE,NEG,0.8153784871101379
2378553270,443227483756716032,443199162876563456,2014-03-11T03:30:41.000Z,19106719,['443227483756716032'],@MAS i think you should set stoppage time for SAR and investigate deeply on possible of hijack?,B_Lenner,NEU,0.8591012954711914
2323227338,443226079684067330,443199162876563456,2014-03-11T03:25:06.000Z,19106719,['443226079684067330'],@MAS canada will pray for them;-(,edwinaandkyle,NEU,0.5150289535522461
2376829627,443224309280944128,443199162876563456,2014-03-11T03:18:04.000Z,19106719,['443224309280944128'],@MAS keep searching &amp; don't give up...,happy_chiam,NEU,0.6763654947280884
550560166,443221801678938112,443199162876563456,2014-03-11T03:08:06.000Z,19106719,['443221801678938112'],"@MAS: As we wait for updates from SAR teams, to support the families, Response Coordination Centre will be established once aircraft located",lets,NEU,0.906502366065979
2214937858,443209294763544578,443199162876563456,2014-03-11T02:18:24.000Z,19106719,['443209294763544578'],@MAS Good luck to your SAR teams. God bless you! The whole world is behind you stay strong.,PHLSpotter,POS,0.9914532899856567
1400343355,443206332737654785,443199162876563456,2014-03-11T02:06:38.000Z,19106719,['443206332737654785'],@MAS Allah bless MH370,heartbeat_1972,POS,0.9484097361564636
1594856954,443206166823571456,443199162876563456,2014-03-11T02:05:59.000Z,19106719,['443206166823571456'],@MAS do you think the people on the plane are still alive? :(,livsghost,NEG,0.9733938574790955
57193419,443204816957747200,443199162876563456,2014-03-11T02:00:37.000Z,19106719,['443204816957747200'],@MAS I also felt that the plane is hiden. The plane still in safe condition due to emergency beacon not activated. Pray for them.,darrenwen,NEU,0.8784502744674683
2267765779,443203169531994112,443199162876563456,2014-03-11T01:54:04.000Z,19106719,['443203169531994112'],@MAS keep searching and good luck,luistabotelho,NEU,0.5066068172454834
2267765779,443203033661718528,443199162876563456,2014-03-11T01:53:32.000Z,19106719,['443203033661718528'],@MAS actually I believe it is possible to desapear with an aircraft by turning all sistems off and fly at very low altitude (1000ft),luistabotelho,NEU,0.9605596661567688
723778585,443202480986279936,443199162876563456,2014-03-11T01:51:20.000Z,19106719,['443202480986279936'],"@MAS frm my opinion, should possible if searching at the land near to the last position #awani501 #PrayForMH370 #MH370",LutzAlany,NEU,0.9780288338661194
2267765779,443201475226132480,443199162876563456,2014-03-11T01:47:20.000Z,19106719,['443201475226132480'],"@MAS maybe you should have a look if there is any route where the aircraft could have gone, without radar detection",luistabotelho,NEU,0.8550177216529846
2336845382,443201268853374976,443199162876563456,2014-03-11T01:46:31.000Z,19106719,['443201268853374976'],@MAS I give my prayers and hope for all to be safe pray for all of them to be returned safely,yolieander,POS,0.940139889717102
936759086,443201146769768449,443199162876563456,2014-03-11T01:46:02.000Z,19106719,['443201146769768449'],"@MAS Believe we will located it today! Families and friends, PRAY n BELIEVE!",namphamhoai,POS,0.9438547492027283
2267765779,443201143758680064,443199162876563456,2014-03-11T01:46:01.000Z,19106719,['443201143758680064'],"@MAS I don't know, but I have the feeling this aircraft didn't crashed, it's just hiden some where... Even if that seems to be impossible",luistabotelho,NEU,0.8360767364501953
1919809237,443201032445652992,443199162876563456,2014-03-11T01:45:35.000Z,19106719,['443201032445652992'],@MAS prayers sent to all that involved,ladykemat,POS,0.5004830956459045
18291042,443200947834339328,443199162876563456,2014-03-11T01:45:14.000Z,19106719,['443200947834339328'],"Sorry for unfollowing, @MAS",nnimrodd,NEG,0.7231116890907288
2378820996,443200341287268352,443199162876563456,2014-03-11T01:42:50.000Z,19106719,['443200341287268352'],"@MAS SAR teams, good work guys...MAS...hang on there...we always with you... MH370...we coming for u....",nurhabibahkamal,POS,0.990288496017456
596354314,443199897068511232,443199162876563456,2014-03-11T01:41:04.000Z,19106719,['443199897068511232'],@MAS keep the FAITH and BELIEVE.All Malaysian Right Behind You.Keep Up The Good Work. #Pray4MH370,MHR220,POS,0.9684279561042786
