author_id,conversation_id,created_at,edit_history_tweet_ids,in_reply_to_user_id,text,id,author_name,label,score
115482618,443414653897408514,2014-03-12T08:15:48.000Z,['443661621630488576'],19106719,@MAS It's normal .,443661621630488576,tiawaiata,NEU,0.9749019145965576
550412089,443414653897408514,2014-03-12T04:36:53.000Z,['443606530110128128'],19106719,“@MAS: [#MASalert] Media statement regarding allegations being made against the First Officer of MH370 - http://t.co/RuVnMY8lO7” #MustRead,443606530110128128,ariffalyahya77,NEU,0.9787014722824097
2341762682,443414653897408514,2014-03-12T03:12:59.000Z,['443585416348700672'],19106719,@MAS is their any possibilty of taking NASA intervention for tracking the flight sattelite image about the changing course transition,443585416348700672,devaswarupa,NEU,0.9734691977500916
102284233,443414653897408514,2014-03-12T03:10:57.000Z,['443584903351791616'],19106719,RT@MAS: [#MASalert] Media statement regarding allegations being made against the First Officer of MH370 - http://t.co/nC91uWxA5c #Rgv,443584903351791616,caperuza123,NEU,0.9777217507362366
269168007,443414653897408514,2014-03-12T02:11:00.000Z,['443569819590213633'],19106719,@MAS chin up n Fighting..my prayers n thoughts always be with MH370... :),443569819590213633,c4n6y91rl,POS,0.9048659801483154
49043320,443414653897408514,2014-03-12T01:59:08.000Z,['443566830880186368'],19106719,Wow! RT @MAS: [#MASalert] Media statement regarding allegations being made against the First Officer of MH370 - http://t.co/n5IfMGyoO7,443566830880186368,achidente,NEU,0.7653279900550842
903554172,443414653897408514,2014-03-11T22:18:50.000Z,['443511389722669057'],19106719,@MAS says it's 'shocked' at allegations relating to conduct of First Officer of missing #MH370 - http://t.co/HyPAYYfSiR,443511389722669057,kate_mayberry,NEG,0.7272546887397766
2320800689,443414653897408514,2014-03-11T19:00:40.000Z,['443461519935033345'],19106719,@MAS @MyFoxTampaBay @DrewOnTheRadio @GeoOnAir,443461519935033345,Flya310q,NEU,0.9489724636077881
121306914,443414653897408514,2014-03-11T17:10:57.000Z,['443433908667834368'],19106719,@MAS all u guys can say is allegation n that's it? This is an national interest OK? Merely denial n no further clarification?,443433908667834368,juarezfong,NEG,0.7875629663467407
1391357491,443414653897408514,2014-03-11T16:45:09.000Z,['443427417177071616'],19106719,@MAS http://t.co/JJr927TGAf,443427417177071616,ImFourThreeTwo,NEU,0.9551904797554016
59727258,443414653897408514,2014-03-11T16:34:09.000Z,['443424651184594944'],19106719,"@MAS better ignore, coz very unproven allegation, I swear",443424651184594944,ninaringi,NEG,0.9307002425193787
56020678,443414653897408514,2014-03-11T16:22:45.000Z,['443421782481985536'],19106719,@MAS agree with you,443421782481985536,JUANOMORA,POS,0.7534025311470032
175722806,443414653897408514,2014-03-11T16:22:15.000Z,['443421653293207552'],19106719,Good!! RT @MAS: [#MASalert] Media statement regarding allegations being made against the First Officer of MH370 - http://t.co/agvJSJWOhc,443421653293207552,BenAhmedS,POS,0.5141324400901794
47964049,443414653897408514,2014-03-11T16:18:11.000Z,['443420631107780608'],19106719,Strong response RT @MAS Media statement regarding allegations being made against the First Officer of MH370 - http://t.co/ZIwL2Ydyk4”,443420631107780608,MNRezaAli,NEU,0.9735421538352966
295667256,443414653897408514,2014-03-11T16:15:54.000Z,['443420054764285952'],19106719,@MAS its look like a fake photo n video..,443420054764285952,GieyanaCute,NEG,0.9504672288894653
363494868,443414653897408514,2014-03-11T16:11:55.000Z,['443419055240646656'],19106719,Great response. MT @MAS: Media statement regarding allegations being made against the First Officer of MH370 - http://t.co/ChJJE2Nr08”,443419055240646656,ArvinTunas,POS,0.6427037715911865
939342320,443414653897408514,2014-03-11T16:10:33.000Z,['443418711085432832'],19106719,@MAS,443418711085432832,lifeissuch1,NEU,0.9518000483512878
89457976,443414653897408514,2014-03-11T16:07:36.000Z,['443417967016288256'],19106719,Malaysia Airlines says it's shocked by allegations re MH370 First Officer “@MAS: [#MASalert] Media statement  - http://t.co/B9kFK8d2mB”,443417967016288256,markwhiteTV,NEU,0.7976674437522888
135016470,443414653897408514,2014-03-11T16:00:21.000Z,['443416144053932034'],19106719,RT “@MAS: [#MASalert] Media statement regarding allegations being made against the First Officer of MH370 - http://t.co/F8AAZ0zCYa”,443416144053932034,pzeus,NEU,0.9782541990280151
1624719716,443414653897408514,2014-03-11T15:58:19.000Z,['443415633112211456'],19106719,“@MAS: [#MASalert] Media statement regarding allegations being made against the First Officer of MH370 - http://t.co/SoSIl092Nr”,443415633112211456,OOTDM,NEU,0.9784345626831055
10846202,443414653897408514,2014-03-11T15:57:53.000Z,['443415522114166785'],19106719,Strong words RT“@MAS: Media statement regarding allegations being made against the First Officer of MH370 - http://t.co/QTHPEylLrl”,443415522114166785,sonaremesh,NEU,0.9496317505836487
2295680132,443414653897408514,2014-03-11T15:56:01.000Z,['443415051118981120'],19106719,"@MAS 
Semoga Allah permudahkan semuanya....",443415051118981120,layazhar,NEU,0.9568804502487183
