text,in_reply_to_user_id,id,author_id,edit_history_tweet_ids,conversation_id,created_at,author_name,label,score
@MAS any idea why they didn't ?,19106719,443415788595081216,80247994,['443415788595081216'],443326851688050689,2014-03-11T15:58:56.000Z,BasheerOlakara,NEG,0.626840353012085
@MAS Beyond my mind. Heart felt wish for best outcomes.,19106719,443388897759092736,418684034,['443388897759092736'],443326851688050689,2014-03-11T14:12:05.000Z,gaglew,POS,0.8632901906967163
@MAS https://t.co/sxXmpdDnfx,19106719,443381325462896641,26478037,['443381325462896641'],443326851688050689,2014-03-11T13:42:00.000Z,Tannypp,NEU,0.9518615007400513
@MAS yg penting apa yg KP explain td...dan berdoa bkn cari salah siapa,19106719,443371202099159040,2393715874,['443371202099159040'],443326851688050689,2014-03-11T13:01:46.000Z,ZawatiAbdullah,NEU,0.975482165813446
@MAS maafkan MAS... bkn kita aje yg terkejut...mereka pun tak pernah hadapi peristiwa sebesar nie...belajar dr kesilapan,19106719,443370672975142913,2393715874,['443370672975142913'],443326851688050689,2014-03-11T12:59:40.000Z,ZawatiAbdullah,NEU,0.5685398578643799
@MAS My prayers with all aboard.. Very tough situation for the family members.. God will give them strength..,19106719,443356788088250368,64770734,['443356788088250368'],443326851688050689,2014-03-11T12:04:30.000Z,meetviren,NEU,0.7527571320533752
@MAS ridiculous small issue like this can't make it right! Shame on you guys! No wonder foreign press keep lambasting us on #MH370,19106719,443344167201038336,121306914,['443344167201038336'],443326851688050689,2014-03-11T11:14:21.000Z,juarezfong,NEG,0.9851629137992859
@MAS then who feed the DCA with the info about the 5 pssgnr checked in but didn't go on board? This is too fishy,19106719,443339747297988609,293541785,['443339747297988609'],443326851688050689,2014-03-11T10:56:47.000Z,mujahidpahmi,NEG,0.944215714931488
@MAS the DCA previously said 5. Was he wrong? Sure 4 not 5? Also what about the malay dude who showed his boarding pass on twitter? Hoax?,19106719,443337910385782785,190963119,['443337910385782785'],443326851688050689,2014-03-11T10:49:29.000Z,azrilbangsar,NEG,0.6496801972389221
@MAS but you would have put this clarification earlier,19106719,443335715699822592,2247246280,['443335715699822592'],443326851688050689,2014-03-11T10:40:46.000Z,Josure_kajo,NEU,0.9165980219841003
@MAS what the hell actually happened? Information contradicting..,19106719,443333145505849344,1413379753,['443333145505849344'],443326851688050689,2014-03-11T10:30:33.000Z,ismeth83,NEG,0.9832379817962646
@MAS POLICE: ALL who BOUGHT the ticket - boarded the flight.  you said  5 passengers had their luggage off-loaded. Police wrong?,19106719,443333088416780289,137993990,['443333088416780289'],443326851688050689,2014-03-11T10:30:19.000Z,JulySunset,NEG,0.8308213353157043
