created_at,in_reply_to_user_id,author_id,conversation_id,id,edit_history_tweet_ids,text,author_name,label,score
2014-03-22T09:40:29.000Z,19106719,406855381,446955657049018368,447306815311577089,['447306815311577089'],"@MAS may b abt time let d investigator do their job wt less pressure 2 provide updates evryday.PC,when necessary &amp; 2 families only",Carlzy2,NEU,0.9471405744552612
2014-03-22T06:04:51.000Z,19106719,90543426,446955657049018368,447252546319446016,['447252546319446016'],@MAS fuck you,moneky719,NEG,0.9821792244911194
2014-03-21T23:43:49.000Z,19106719,91226096,446955657049018368,447156658263707650,['447156658263707650'],@MAS  R / T     MH370 update  21 March     http://t.co/yIJIOMwWJx,Dave_Wilhelm,NEU,0.9813153147697449
2014-03-21T23:07:41.000Z,19106719,461673121,446955657049018368,447147561904644096,['447147561904644096'],"@MAS where ever you are, where ever you go, we will find you, no matter what it takes, nor how long will it make. #MH370",mdnizamy,NEU,0.765637993812561
2014-03-21T23:00:01.000Z,19106719,2330289836,446955657049018368,447145634168975360,['447145634168975360'],@MAS problem is Co.Pilot over acting n arogan because his swicth off GPS..please believe me because God bless,nifarianto,NEG,0.6127798557281494
2014-03-21T22:57:48.000Z,19106719,2330289836,446955657049018368,447145074992766976,['447145074992766976'],"@MAS our fr ponpes yatim alhanif give you information,airplane mh 370 now in deepsea 2000 meters and 4 km south spartly island,trouble",nifarianto,NEU,0.8101384043693542
2014-03-21T19:44:05.000Z,19106719,163073303,446955657049018368,447096327160078336,['447096327160078336'],I don't know why but I hv this feeling you wud find about #MH370  before next 12 hours --- Amen! @MAS,fanssay,NEU,0.7945583462715149
2014-03-21T18:43:33.000Z,19106719,179832801,446955657049018368,447081094660112384,['447081094660112384'],@MAS have an exact spot to present it to the authorities. but will move only by an offical only.,Astropoduval,NEU,0.9791690707206726
2014-03-21T18:42:20.000Z,19106719,179832801,446955657049018368,447080786626220032,['447080786626220032'],@MAS tried many times to convey if not interested in my help to find it i cannot procced.,Astropoduval,NEG,0.73154616355896
2014-03-21T16:59:34.000Z,19106719,26886095,446955657049018368,447054922304208896,['447054922304208896'],Latest on missing #MH370 flight RT @MAS: [#MASalert] MH370 Flight Incident Press Briefing Update for 21 March 2014  - http://t.co/NIcVzFXaHz,flyLAXairport,NEU,0.9337573647499084
2014-03-21T15:56:54.000Z,19106719,2359885746,446955657049018368,447039154040225793,['447039154040225793'],"@MAS NOT CASUALLITY 20 @FreeScale EMPLOYER EXPERTS-INVOLVED IN MILLITARY BLACK PROGRAM, INVISIBLE AIRPLANE CONTRACT @DARPA @USAirForce #rfid",HackerMan01,NEU,0.9277223944664001
2014-03-21T14:48:06.000Z,19106719,1394844276,446955657049018368,447021839923941376,['447021839923941376'],@MAS,yuaysh,NEU,0.9518000483512878
2014-03-21T13:33:26.000Z,19106719,55882022,446955657049018368,447003049870241792,['447003049870241792'],"@MAS This man has an unusual theory about the flight's disappearance 
http://t.co/50IP9oSttY",oiseaufrancaise,NEU,0.9266864061355591
2014-03-21T13:17:07.000Z,19106719,17128502,446955657049018368,446998943314890752,['446998943314890752'],"MT: @MAS: [#MASalert] MH370 Flight Incident Press Briefing Update for 21 March 2014 ""We now have a credible lead."" http://t.co/8R3FrdJi3J",OhStephanitely,NEU,0.8798471689224243
2014-03-21T12:38:56.000Z,19106719,102284233,446955657049018368,446989332910317568,['446989332910317568'],RT@MAS: [#MASalert] MH370 Flight Incident Press Briefing Update for 21 March 2014  - http://t.co/nC91uWxA5c,caperuza123,NEU,0.9813406467437744
2014-03-21T12:07:06.000Z,19106719,87082919,446955657049018368,446981321991024640,['446981321991024640'],"@MAS #MASalert PM abbott terlalu dini berbicara tentang puing MHA370, mestinya crosscheck dulu, atau foto satelit itu cuma hasil penyadapan",zulfikriSSi,NEU,0.9779413938522339
