id,conversation_id,edit_history_tweet_ids,author_id,in_reply_to_user_id,created_at,text,author_name,label,score
447619925700378624,443776213421928448,['447619925700378624'],22080379,19106719,2014-03-23T06:24:41.000Z,@MAS When in the U.S. Coast Guard we conducted SAR. People don't understand ocean-based SAR; a needle in 100 haystacks is an understatement.,MortimerEsq,NEG,0.58437180519104
444175300696358912,443776213421928448,['444175300696358912'],330621680,19106719,2014-03-13T18:16:58.000Z,@MAS why don't u get it together and organize the search like humans,FamilyPrac64,NEG,0.9376204609870911
444169307061108736,443776213421928448,['444169307061108736'],2359016742,19106719,2014-03-13T17:53:09.000Z,@MAS Tell me the truth pls!!!not just cheat!,cest_christophe,NEG,0.9346510171890259
443959770777526272,443776213421928448,['443959770777526272'],202361932,19106719,2014-03-13T04:00:32.000Z,@MAS find the missing plane instead of doing cheap-shit of company advertisement here pls!!!!!,EarthVeUzengi,NEG,0.9803705215454102
443831330132881408,443776213421928448,['443831330132881408'],1668885013,19106719,2014-03-12T19:30:09.000Z,@MAS 5days already!! Pls do something useful!!!!!!!,243851998,NEU,0.6606846451759338
443799110454226945,443776213421928448,['443799110454226945'],115482618,19106719,2014-03-12T17:22:07.000Z,@MAS pary does nothing. You guys knew what has happened. Why you cover it up?,tiawaiata,NEG,0.9646116495132446
443794360912474112,443776213421928448,['443794360912474112'],143739473,19106719,2014-03-12T17:03:15.000Z,@MAS what time PC for tomorrow?,AffendyJailani,NEU,0.9684337377548218
443792556585783296,443776213421928448,['443792556585783296'],864233112,19106719,2014-03-12T16:56:05.000Z,This is latest Press Release from @MAS issued 1 hour ago re #MH370...http://t.co/xksOQl2pHT,tomkorocz,NEU,0.9789099097251892
443790541667311619,443776213421928448,['443790541667311619'],1439789868,19106719,2014-03-12T16:48:05.000Z,@MAS  keep up the Good Spirit and Do your very best.,MisterAllanC,POS,0.9915973544120789
443783026175008768,443776213421928448,['443783026175008768'],2374591676,19106719,2014-03-12T16:18:13.000Z,@MAS stop lying &amp; tell the truth. U are killing people.,muxiao1985,NEG,0.9851492643356323
443781284230623232,443776213421928448,['443781284230623232'],2283678781,19106719,2014-03-12T16:11:17.000Z,@MAS How can i help to be a volunteer,laksasampedas,NEU,0.8789710402488708
443779295043796992,443776213421928448,['443779295043796992'],2385173864,19106719,2014-03-12T16:03:23.000Z,@MAS Seek the truth place thanks,guhaonan,NEU,0.941118061542511
443777167990599680,443776213421928448,['443777167990599680'],2323227338,19106719,2014-03-12T15:54:56.000Z,"@MAS my family has used your service before, we love the orient, and we will always fly with you! #PrayForMH370",edwinaandkyle,POS,0.9420310854911804
