id,conversation_id,edit_history_tweet_ids,author_id,in_reply_to_user_id,created_at,text,author_name,label,score
447853871369822208,447347525142339584,['447853871369822208'],1244769426,19106719,2014-03-23T21:54:18.000Z,@MAS invite individuals with Devine intimation to help pin-point the location of the missing plane and save efforts http://t.co/VG0qGC52PU,kelokatongo,NEU,0.7314364910125732
447713762976333824,447347525142339584,['447713762976333824'],1123075297,19106719,2014-03-23T12:37:33.000Z,Fyi: I FEEL F370 R ALL OK &amp; COMING BACK SOON to TELL ALL! :P Let's TALK@ http://t.co/N45FThdYyG  LISTEN to ME at http://t.co/GEvfAdNyVQ @MAS,ArchAngelRich,POS,0.8382522463798523
447694227627991040,447347525142339584,['447694227627991040'],522997664,19106719,2014-03-23T11:19:56.000Z,@MAS bila nak update nih patutlah org  marah,rafflesiaQ,NEU,0.9697273373603821
447694212860223488,447347525142339584,['447694212860223488'],571732588,19106719,2014-03-23T11:19:52.000Z,@mas  titik kordinat jatuh nya mh370. 7-47'47.90'' - 105.13'39.59'' di lautan vietnam.,Randy_exsandria,NEU,0.9800804853439331
447619466004668416,447347525142339584,['447619466004668416'],2406109196,19106719,2014-03-23T06:22:51.000Z,@MAS,_amazingmel,NEU,0.9518000483512878
447573863279239169,447347525142339584,['447573863279239169'],1348029342,19106719,2014-03-23T03:21:39.000Z,@MAS our prayers for all your family of passengers and employees,Bernhardtbeach,POS,0.6052897572517395
447491772160024576,447347525142339584,['447491772160024576'],2404910084,19106719,2014-03-22T21:55:27.000Z,@MAS  I think I have a possible location of mh370 http://t.co/en4U947Uf5,acmilan22282,NEU,0.9789325594902039
447437825168789504,447347525142339584,['447437825168789504'],1466154002,19106719,2014-03-22T18:21:05.000Z,@MAS don't u ever post any content info?,Ampherius,NEU,0.7895312905311584
447381845261307904,447347525142339584,['447381845261307904'],174695653,19106719,2014-03-22T14:38:38.000Z,@MAS Its sad 2 note wit all da world's technology v still cudnt find a plane. So much 4 da money v spend 4 makin #Weapons,AsharLapidary,NEG,0.9551215171813965
447376469430263808,447347525142339584,['447376469430263808'],1394844276,19106719,2014-03-22T14:17:16.000Z,@MAS,yuaysh,NEU,0.9518000483512878
447362809207455744,447347525142339584,['447362809207455744'],1742090562,19106719,2014-03-22T13:22:59.000Z,@MAS my friend found it outside his house...,PakoraToes,NEU,0.9594165682792664
447348373729730561,447347525142339584,['447348373729730561'],555595008,19106719,2014-03-22T12:25:38.000Z,"RT @MAS: [#MASalert] As the search for MH370 continues, diplomatic, logistic &amp; technical efforts are intensified - http://t.co/Orm1e541Wx",AeroMex,NEU,0.9776581525802612
447348037053345792,447347525142339584,['447348037053345792'],67148793,19106719,2014-03-22T12:24:18.000Z,@MAS lets hope so,bee9100,POS,0.6023404598236084
