created_at,id,author_id,text,conversation_id,in_reply_to_user_id,edit_history_tweet_ids,author_name,label,score
2019-04-09T05:53:03.000Z,1115492799930163200,1098186882708578305,"@flyethiopian Yes thats my favorite airline i like those 3 colours on its tale red, yellow and green so ethiopean airline is the pride of Africa",1114098697686716422,334032462,['1115492799930163200'],ngingaz_jona,POS,0.9923670887947083
2019-04-07T09:51:19.000Z,1114827988594515969,3733135515,@flyethiopian ✅,1114098697686716422,334032462,['1114827988594515969'],jigsa_mo,NEU,0.9769391417503357
2019-04-07T07:15:26.000Z,1114788758338117632,148808996,@flyethiopian Done!,1114098697686716422,334032462,['1114788758338117632'],HanniSBD,NEU,0.921968936920166
2019-04-07T03:25:11.000Z,1114730814753923074,1153120812,"@flyethiopian Of course the best airline.
Already voted for @flyethiopian",1114098697686716422,334032462,['1114730814753923074'],anexoman,POS,0.9801608920097351
2019-04-07T03:11:15.000Z,1114727307544080384,1021813738016595968,"@flyethiopian Voted! All Star ⭐️ ⭐️ ⭐️ ⭐️ ⭐️ Best for Safety, Comfortability, Hospitality &amp;  Availability! 🏆 🏆 🏆 🏆 ✈️ ✈️ ✈️ [2020 back home 💼 🏡 Please, No Red Carpet 😊 🤭] https://t.co/n5RGzTLU1W",1114098697686716422,334032462,['1114727307544080384'],W_Tokichaw,POS,0.9886387586593628
2019-04-07T01:37:40.000Z,1114703758460514304,846084362340712448,"@flyethiopian Boom, I choose the Ethiopian. https://t.co/UKwkJJWV19",1114098697686716422,334032462,['1114703758460514304'],Gemoraw1,NEU,0.8943703174591064
2019-04-06T16:07:40.000Z,1114560311196041218,822556025488293888,@flyethiopian I do Voted!!,1114098697686716422,334032462,['1114560311196041218'],lominatGEyassu,POS,0.5270512104034424
2019-04-06T15:55:22.000Z,1114557216353398784,1071456835654352896,@flyethiopian ❤❤❤,1114098697686716422,334032462,['1114557216353398784'],Eman63233236,NEU,0.9725980758666992
2019-04-06T14:14:21.000Z,1114531793217236992,256521111,@flyethiopian Just did too!,1114098697686716422,334032462,['1114531793217236992'],liberty409,NEU,0.878085196018219
2019-04-06T14:10:21.000Z,1114530788723384321,1067111168240771072,@flyethiopian I am very glad to Ethiopian air lines which is leading African airlines!!!,1114098697686716422,334032462,['1114530788723384321'],KidanemariamGe7,POS,0.9890889525413513
2019-04-06T11:30:20.000Z,1114490516593238016,2399898894,@flyethiopian I did!,1114098697686716422,334032462,['1114490516593238016'],Azebdej,NEU,0.8004598021507263
2019-04-06T11:16:49.000Z,1114487117642588160,2193437349,@flyethiopian I voted for the world class Airlines @flyethiopian,1114098697686716422,334032462,['1114487117642588160'],WainnieT,POS,0.988725483417511
2019-04-06T09:35:52.000Z,1114461713187901441,1027489955596193792,"@flyethiopian @sadiqmatkailu Thank you Ethiopia, Africa pride",1114098697686716422,334032462,['1114461713187901441'],Morhasonfemiya1,POS,0.961624801158905
2019-04-06T07:39:27.000Z,1114432415873884161,1267067137,"@flyethiopian KISIA OMARI ALMASSI @almassikisia
I am voting for @flyethiopian",1114098697686716422,334032462,['1114432415873884161'],almassikisia,NEU,0.8416560292243958
2019-04-06T06:32:54.000Z,1114415668361744384,973998217,@flyethiopian I am always proud of Ethiopian Airlines,1114098697686716422,334032462,['1114415668361744384'],amant630,POS,0.9614616632461548
2019-04-06T05:44:58.000Z,1114403602901209089,1112180611341533184,@flyethiopian You’ve my at most confidence and vote.,1114098697686716422,334032462,['1114403602901209089'],WodaBiratu,NEU,0.6301543116569519
2019-04-05T21:24:26.000Z,1114277638934339584,995413347607572480,@flyethiopian Bags get lost mysteriously and what  u are told is that they were not tagged. So who holds the ultimate responsibility ?#Ethiopian airlines voting is going to commence when u find missing bag/s.,1114098697686716422,334032462,['1114277638934339584'],Tim29741,NEG,0.8851969838142395
2019-04-05T21:19:38.000Z,1114276433596223489,315762889,@flyethiopian done,1114098697686716422,334032462,['1114276433596223489'],SamarAlix,NEU,0.9744083881378174
2019-04-05T20:05:08.000Z,1114257685078257664,1410408770,@flyethiopian Voted for @flyethiopian,1114098697686716422,334032462,['1114257685078257664'],Dawit7411,POS,0.5082896947860718
2019-04-05T19:46:07.000Z,1114252899696152576,906747322498998272,@flyethiopian My vote 👍 https://t.co/ZChNe9jnZI,1114098697686716422,334032462,['1114252899696152576'],IvanGaidarov,NEU,0.5238898396492004
2019-04-05T19:37:10.000Z,1114250644548988929,1092992785433665536,"@flyethiopian You are not the most competitive, if you were you would have the 747-8, #747WillFlyForever!",1114098697686716422,334032462,['1114250644548988929'],HarbingerOf747,NEG,0.5808625817298889
2019-04-05T19:21:38.000Z,1114246736665612288,2242259908,@flyethiopian You have got my vote. 🤟,1114098697686716422,334032462,['1114246736665612288'],Ian_0ne,POS,0.5442119240760803
2019-04-05T18:54:15.000Z,1114239844316790785,95951198,"@flyethiopian I am traveling by @flyethiopian airline in the next 1 hour from Paris,France to Addis Ababa and  you really rock!

I will obviously vote for you now....",1114098697686716422,334032462,['1114239844316790785'],felmalo,POS,0.9853262901306152
2019-04-05T18:35:11.000Z,1114235047639433217,1085099903611748352,@flyethiopian @nevinomics Done,1114098697686716422,334032462,['1114235047639433217'],sodiq1313,NEU,0.9785090088844299
2019-04-05T18:23:54.000Z,1114232207869083653,451232651,@flyethiopian Voted!!! https://t.co/Hi21HWnnF9,1114098697686716422,334032462,['1114232207869083653'],febewolde,POS,0.9301415681838989
2019-04-05T18:12:11.000Z,1114229258292006912,923809021169201152,@flyethiopian My favourite airline,1114098697686716422,334032462,['1114229258292006912'],sirfarie,POS,0.9856470227241516
2019-04-05T17:45:42.000Z,1114222593589039104,2260285415,@flyethiopian I voted.,1114098697686716422,334032462,['1114222593589039104'],yavchris,NEU,0.9681790471076965
2019-04-05T16:13:12.000Z,1114199316275576832,373420000,@flyethiopian @mo_jigsa We only know one airline that is the pride of Africa @EthiopianAirways,1114098697686716422,334032462,['1114199316275576832'],Kuchielala,POS,0.8969954252243042
2019-04-05T15:45:43.000Z,1114192400463880193,1667891917,@flyethiopian we only know one airline that is the pride of Africa @KenyaAirways,1114098697686716422,334032462,['1114192400463880193'],ElijahMutua_,POS,0.8781576752662659
2019-04-05T15:20:53.000Z,1114186149105422336,954454874665771013,@flyethiopian Voted!,1114098697686716422,334032462,['1114186149105422336'],ClarekNickolas,NEU,0.7229673862457275
2019-04-05T15:17:32.000Z,1114185305328967681,1104934905778266113,@flyethiopian Done!,1114098697686716422,334032462,['1114185305328967681'],TadeleDaniel3,NEU,0.921968936920166
2019-04-05T15:16:04.000Z,1114184937756819466,3292000617,@flyethiopian Just voted,1114098697686716422,334032462,['1114184937756819466'],Menllek,NEU,0.8011766076087952
2019-04-05T14:20:08.000Z,1114170862280761344,786421676603011072,"@flyethiopian I'm trying to purchase a ticket with this airline for the last 5 days and they deny me my ticket because if internal problems causing me alot of problems. It's not enought that their plane fall off of the sky, their administration is also a mess.",1114098697686716422,334032462,['1114170862280761344'],soutine108,NEG,0.9853041768074036
2019-04-05T13:56:27.000Z,1114164900174139395,365075117,"@flyethiopian Done! Everyone reading this, please support our konjos!",1114098697686716422,334032462,['1114164900174139395'],Komboray,POS,0.7822011113166809
2019-04-05T12:56:25.000Z,1114149793239056392,1075404243513815040,@flyethiopian I voted flyethiopian,1114098697686716422,334032462,['1114149793239056392'],MarouAkot,NEU,0.664616584777832
