author_id,conversation_id,created_at,edit_history_tweet_ids,in_reply_to_user_id,text,id,author_name,label,score
3377826868,1111163948525674501,2019-03-30T03:10:48.000Z,['1111828091242979328'],334032462,"@flyethiopian @EmmanuelIgunza Glad this is working out for you , if you could please help the people occupying Badme to fly elsewhere , it would be greatly appreciated.
Best,
Eritrea 🇪🇷",1111828091242979328,Eriitrea91,POS,0.9772400259971619
2444741958,1111163948525674501,2019-03-28T18:05:10.000Z,['1111328389380694019'],334032462,@flyethiopian Way to go.  I remember EAL had a library. Wonder if it is still there,1111328389380694019,Mbekbey,NEU,0.8783373832702637
488418427,1111163948525674501,2019-03-28T16:16:28.000Z,['1111301036218695680'],334032462,@flyethiopian All the best to all of you #ethiopianairlines,1111301036218695680,ABC_Icare,POS,0.9890817403793335
880084314,1111163948525674501,2019-03-28T12:50:07.000Z,['1111249106767364096'],334032462,"@flyethiopian I have studied this and other Ethiopian Airlines History for the Interview as a candidate of Trainee Pilot! 
 On 8th of April, 1946 ,The first scheduled flight took place to #Cairo via #Asmara in Douglas C-47 Sky-train.",1111249106767364096,YosefAbison,NEU,0.9691143035888672
1026908469939589125,1111163948525674501,2019-03-28T12:37:21.000Z,['1111245892848373760'],334032462,"@flyethiopian EAL, our national pride. 💚💛❤️",1111245892848373760,Mahlet55242508,NEU,0.8410767912864685
872622285659688960,1111163948525674501,2019-03-28T08:40:46.000Z,['1111186354787020800'],334032462,@flyethiopian Congratulation EAL. Keep flying to more destinations.,1111186354787020800,DaruBest,POS,0.9821273684501648
1024646153198026752,1111163948525674501,2019-03-28T08:23:22.000Z,['1111181974755000321'],334032462,"@flyethiopian Wow. It's quite sad that Douglas went out business. They made good aircraft. You guys have been flying our skies for a long time, I didn't know this piece of history. Do you have one those miniature planes I could use one for my office desk!!! 😊😊😊",1111181974755000321,MachonaTawanda,POS,0.8855209350585938
196104199,1111163948525674501,2019-03-28T07:46:06.000Z,['1111172596555530240'],334032462,@flyethiopian I love you Ethiopian Airlines,1111172596555530240,djoaime,POS,0.9850664138793945
1470229280,1111163948525674501,2019-03-28T07:42:45.000Z,['1111171755744194560'],334032462,@flyethiopian Respect. Feeling proud.,1111171755744194560,BlessCatchLight,POS,0.9813178181648254
317338404,1111163948525674501,2019-03-28T07:34:18.000Z,['1111169629420965888'],334032462,@flyethiopian #Lovely_image....Always @flyethiopian,1111169629420965888,111990ab,POS,0.988100528717041
241503067,1111163948525674501,2019-03-28T07:30:41.000Z,['1111168716853661696'],334032462,@flyethiopian @CNNAfrica Shame on you guys still! ET will keep flying!,1111168716853661696,kingehizojie,NEG,0.9792784452438354
2413779755,1111163948525674501,2019-03-28T07:20:47.000Z,['1111166226208821248'],334032462,@flyethiopian Ethiopian airlines to the world 🙌🏽,1111166226208821248,NancinDadem,NEU,0.9773347973823547
1095269407486550016,1111163948525674501,2019-03-28T07:15:22.000Z,['1111164861462003712'],334032462,@flyethiopian keep shining.......................!,1111164861462003712,Ashenaf01246114,POS,0.8241757154464722
