created_at,conversation_id,in_reply_to_user_id,text,id,edit_history_tweet_ids,author_id,author_name,label,score
2019-04-09T05:42:30.000Z,1115154715262763008,334032462,@flyethiopian Always happy flying with you guys. Keep up the great work!,1115490147351572482,['1115490147351572482'],1025065868206792704,_mheta,POS,0.9925017356872559
2019-04-09T05:35:24.000Z,1115154715262763008,334032462,@flyethiopian @mfaethiopia Congratulations on the decades of achievements. Thanks to all who contributed to Ethiopian’s success. Wishing you many many happy returns.,1115488359160451072,['1115488359160451072'],35451154,tegegny,POS,0.9920346140861511
2019-04-09T01:16:35.000Z,1115154715262763008,334032462,@flyethiopian ክብር ለ  ግርማዊ ተፈሪ,1115423225544970240,['1115423225544970240'],1006701549576306689,insignutopia1,NEU,0.935982882976532
2019-04-08T22:42:04.000Z,1115154715262763008,334032462,@flyethiopian Congrats!!!,1115384342371557376,['1115384342371557376'],488418427,ABC_Icare,POS,0.9904794096946716
2019-04-08T21:10:45.000Z,1115154715262763008,334032462,@flyethiopian Congrtulations Ethiopian. Many more successful years to come.,1115361361264033793,['1115361361264033793'],1024195275026522112,AbeGet7,POS,0.9910584092140198
2019-04-08T20:49:30.000Z,1115154715262763008,334032462,@flyethiopian @MariaSTsehai A poor country turned into a rich and economic country Bravo ethiopia,1115356013677490177,['1115356013677490177'],940662248879677441,Tj65I0rfIBR8yrn,POS,0.5835676789283752
2019-04-08T20:21:46.000Z,1115154715262763008,334032462,@flyethiopian And indeed I was part of your celebrations today on ET873. Well done! https://t.co/Wcu61Wndp5,1115349032132542464,['1115349032132542464'],984234192,MalvoM,POS,0.984831690788269
2019-04-08T20:15:11.000Z,1115154715262763008,334032462,@flyethiopian Happy 73rd Anniversary!,1115347376062042113,['1115347376062042113'],1027959166034427905,ctnjek,POS,0.9892764091491699
2019-04-08T19:20:00.000Z,1115154715262763008,334032462,@flyethiopian please share the 1st flight crew on board in that historic flight,1115333488910245889,['1115333488910245889'],954243450257526784,KamNoah1,POS,0.5303919315338135
2019-04-08T19:08:41.000Z,1115154715262763008,334032462,@flyethiopian congratulations Ethiopian airline I proud of you 💚💛❤,1115330642642968576,['1115330642642968576'],859118636472127488,jiry_joseph,POS,0.9895780086517334
2019-04-08T19:03:25.000Z,1115154715262763008,334032462,@flyethiopian @carienduplessis SAA founded in 1934. But @flyethiopian will certainly be around 12 years after SAA finally bellyflops...,1115329318173978625,['1115329318173978625'],20671208,tomtom_m,NEU,0.9098338484764099
2019-04-08T18:52:04.000Z,1115154715262763008,334032462,@flyethiopian No doubt that you will achive that my Ambassador.,1115326459147706369,['1115326459147706369'],4900878515,77d8b265705f421,POS,0.8766483664512634
2019-04-08T18:32:07.000Z,1115154715262763008,334032462,"@flyethiopian Congratulations, the forever graceful Ethiopian!
ለ100ኛ አመት የልደት በአል እግዚአብሔር በሠላም ያድርሰን።",1115321439048085504,['1115321439048085504'],1079029428133511174,Mesay22784615,POS,0.9916328191757202
2019-04-08T17:06:15.000Z,1115154715262763008,334032462,@flyethiopian Congratulations Ethiopian airline 👏🏻👏🏻,1115299829427646466,['1115299829427646466'],1076174431389736960,JacobKadege,POS,0.9750662446022034
2019-04-08T16:59:58.000Z,1115154715262763008,334032462,@flyethiopian Great Haileslasie!!!,1115298249508831238,['1115298249508831238'],209201114,alemu1221,POS,0.9887545108795166
2019-04-08T16:53:32.000Z,1115154715262763008,334032462,@flyethiopian Cheers to the prime feather in Africa's cap. We support always,1115296630662680576,['1115296630662680576'],739238718,Thwalimbiza,POS,0.9875215888023376
2019-04-08T16:48:35.000Z,1115154715262763008,334032462,@flyethiopian Congratulations!,1115295384304115712,['1115295384304115712'],1057826060,Shehan_W,POS,0.9823718667030334
