created_at,id,author_id,text,conversation_id,in_reply_to_user_id,edit_history_tweet_ids,author_name,label,score
2019-04-06T09:46:59.000Z,1114464509769519105,963301513,@flyethiopian Congratulations!! Is there any plan to start a direct flight to Atlanta?,1112979355167326209,334032462,['1114464509769519105'],elittd,POS,0.9576380848884583
2019-04-04T18:29:12.000Z,1113871152567521280,921683130997788672,@flyethiopian @Antesho19 #EthiopianAirlines Proud of you,1112979355167326209,334032462,['1113871152567521280'],YarminaY,POS,0.9725407958030701
2019-04-03T06:02:17.000Z,1113320796473180160,4529375896,@flyethiopian Bravo!!!,1112979355167326209,334032462,['1113320796473180160'],siachitoba,POS,0.9918031096458435
2019-04-03T04:37:48.000Z,1113299539379802112,2605433192,@flyethiopian It deserves to be welcomed,1112979355167326209,334032462,['1113299539379802112'],aaamoudi555,POS,0.9654623866081238
2019-04-03T00:53:35.000Z,1113243112355389440,1006965990,@flyethiopian pic2: አፍሪካን እንደ መዳፋችን ነው 'ምናውቃት    yilal..  🇪🇹 🇪🇹 🇪🇹,1112979355167326209,334032462,['1113243112355389440'],abdusobah,NEU,0.9325633645057678
2019-04-02T15:43:26.000Z,1113104661240823808,872622285659688960,@flyethiopian Congratulation excellent Ethiopian Airlines.,1112979355167326209,334032462,['1113104661240823808'],DaruBest,POS,0.9881350994110107
2019-04-02T12:29:13.000Z,1113055784508649473,708194911879692289,@flyethiopian All the best to #Turkey.,1112979355167326209,334032462,['1113055784508649473'],OkokoOwen,POS,0.9729403257369995
2019-04-02T11:41:35.000Z,1113043798005706753,1288579969,@flyethiopian #Ethiopianairlines you're the sign of our lovely country! Keep shipping!,1112979355167326209,334032462,['1113043798005706753'],tasolmame,POS,0.9903265833854675
2019-04-02T11:17:41.000Z,1113037783906516998,762279772277903360,"@flyethiopian Welcome to Istanbul, proud of you@flyethiopian",1112979355167326209,334032462,['1113037783906516998'],IbsaIbrahim3,POS,0.9899569153785706
2019-04-02T10:12:10.000Z,1113021296089161728,1017683334468718592,"@flyethiopian Welcome to IST! I wonder where the sales office is located in Istanbul, would you please inform?",1112979355167326209,334032462,['1113021296089161728'],SeyfedinMHD,POS,0.8938672542572021
2019-04-02T10:03:04.000Z,1113019006292844545,1108151534053965824,@flyethiopian I hope we will see Ethiopian Airlines at Dallas Texas soon.,1112979355167326209,334032462,['1113019006292844545'],Meku33695060,NEU,0.8531818985939026
2019-04-02T09:28:52.000Z,1113010398591102977,763417638559186945,@flyethiopian Congrats !!!,1112979355167326209,334032462,['1113010398591102977'],lovelylr3,POS,0.9888862371444702
2019-04-02T08:02:27.000Z,1112988650344775682,906003072736010240,@flyethiopian 🙏🙏🙏,1112979355167326209,334032462,['1112988650344775682'],Kuntaprince23,NEU,0.9725980758666992
