conversation_id,edit_history_tweet_ids,id,text,created_at,in_reply_to_user_id,author_id,author_name,label,score
1111868745616633856,['1114249779587035136'],1114249779587035136,@flyethiopian How many Ethiopians inside,2019-04-05T19:33:43.000Z,334032462,854032241600716800,MauriceKavuku,NEU,0.9825789928436279
1111868745616633856,['1113363301185085440'],1113363301185085440,@flyethiopian You can contact your sister office at entebbe airport. They know about my case. I lost my bag  on 25th jan 2019  from Doha with all my academic documents and other valuable items. It's now two months and I have not gotten any response. Thanks,2019-04-03T08:51:10.000Z,334032462,995413347607572480,Tim29741,NEG,0.9297349452972412
1111868745616633856,['1113358911220928512'],1113358911220928512,"@flyethiopian As long as u mishandle passenger's bags, #Ethiopian airlines has no place.",2019-04-03T08:33:44.000Z,334032462,995413347607572480,Tim29741,NEG,0.9684864282608032
1111868745616633856,['1112874140833382405'],1112874140833382405,@flyethiopian All day everyday! #IamEthiopian,2019-04-02T00:27:26.000Z,334032462,1043707784,selaminale,NEU,0.9369745850563049
1111868745616633856,['1112759392812830720'],1112759392812830720,@flyethiopian Ok thanks you,2019-04-01T16:51:27.000Z,334032462,1111690136977371136,YaregalMengaw,POS,0.7586806416511536
1111868745616633856,['1112509573993099264'],1112509573993099264,@flyethiopian We love @flyethiopian too! In fact we are looking at collaborating to bring Artists from Seattle to Kenya this summer on #Ethiopian who can we talk to about this opportunity?,2019-04-01T00:18:46.000Z,334032462,172057616,OneVibeAfrica,POS,0.9900144338607788
1111868745616633856,['1112418464503869440'],1112418464503869440,@flyethiopian We love this video !!!  and always @flyethiopian  when ever we can .. #BusinessTravel,2019-03-31T18:16:44.000Z,334032462,713750631551340544,jms_ventures,POS,0.9912654757499695
1111868745616633856,['1112386785424879616'],1112386785424879616,@flyethiopian ET all the way. Am 🇰🇪,2019-03-31T16:10:51.000Z,334032462,116408517,Jwmbugush,NEU,0.7265767455101013
1111868745616633856,['1112321685124866048'],1112321685124866048,@flyethiopian I love Ethiopian,2019-03-31T11:52:10.000Z,334032462,288753859,BAHARILYASHF,POS,0.9875200986862183
1111868745616633856,['1112308175489941505'],1112308175489941505,@flyethiopian #IamEthiopian,2019-03-31T10:58:29.000Z,334032462,143010538,SynNeoMarketing,NEU,0.9767806529998779
1111868745616633856,['1112294382995148800'],1112294382995148800,@flyethiopian Stop disturbing us. Your staff break into passengers luggage and steal stuff.,2019-03-31T10:03:40.000Z,334032462,44869696,YarKafanchan,NEG,0.9850901365280151
1111868745616633856,['1112270816182525952'],1112270816182525952,@flyethiopian Fuck Ethiopia airlines I can't use that shit again 😠,2019-03-31T08:30:02.000Z,334032462,982183389712150528,AtieliWilson,NEG,0.9854031801223755
1111868745616633856,['1112264912968003585'],1112264912968003585,"@flyethiopian @flyethiopian has been very consistent. Irrespective of the recent unforeseen incidence, I stand with #IamEthiopian",2019-03-31T08:06:34.000Z,334032462,142359231,barbatuneday,POS,0.8470972180366516
1111868745616633856,['1112241119365083136'],1112241119365083136,@flyethiopian What was the reason of last crash?,2019-03-31T06:32:01.000Z,334032462,1068577547825438723,Murad4001,NEU,0.6134744882583618
1111868745616633856,['1112228529805185024'],1112228529805185024,@flyethiopian @Ethiopialiveupd Ethiopian airlines are always #1,2019-03-31T05:42:00.000Z,334032462,1039877198637715456,Kefelew1,POS,0.9047384262084961
1111868745616633856,['1112215638964137984'],1112215638964137984,"@flyethiopian @PositivelyEthio No one connects Africa like Ethiopian. Excellent job. But this video? Why use an aircraft model that has never been in ET fleet?  and what is with the whispering at the end? A bit Cheesy! Come on Ethiopian, you can do better.",2019-03-31T04:50:46.000Z,334032462,34671482,michaeldgab,NEG,0.9783641695976257
1111868745616633856,['1112166887461408768'],1112166887461408768,@flyethiopian ♥️♥️,2019-03-31T01:37:03.000Z,334032462,864484333,ateyneehlee,NEU,0.968341052532196
