text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
@flyethiopian Always happy flying with you guys. Keep up the great work!,334032462,"9 April 2019, 12:42:30 PM",1115154715262763008,1115490147351572482,['1115490147351572482'],1025065868206792704,_mheta,POS,0.9928637146949768
@flyethiopian @mfaethiopia Congratulations on the decades of achievements. Thanks to all who contributed to Ethiopian’s success. Wishing you many many happy returns.,334032462,"9 April 2019, 12:35:24 PM",1115154715262763008,1115488359160451072,['1115488359160451072'],35451154,tegegny,POS,0.9926241636276245
@flyethiopian ክብር ለ  ግርማዊ ተፈሪ,334032462,"9 April 2019, 8:16:35 AM",1115154715262763008,1115423225544970240,['1115423225544970240'],1006701549576306689,insignutopia1,NEU,0.9702428579330444
@flyethiopian Congrats!!!,334032462,"9 April 2019, 5:42:04 AM",1115154715262763008,1115384342371557376,['1115384342371557376'],488418427,ABC_Icare,POS,0.9892017841339111
@flyethiopian Congrtulations Ethiopian. Many more successful years to come.,334032462,"9 April 2019, 4:10:45 AM",1115154715262763008,1115361361264033793,['1115361361264033793'],1024195275026522112,AbeGet7,POS,0.9917023777961731
@flyethiopian @MariaSTsehai A poor country turned into a rich and economic country Bravo ethiopia,334032462,"9 April 2019, 3:49:30 AM",1115154715262763008,1115356013677490177,['1115356013677490177'],940662248879677441,Tj65I0rfIBR8yrn,POS,0.7465735673904419
@flyethiopian And indeed I was part of your celebrations today on ET873. Well done! https://t.co/Wcu61Wndp5,334032462,"9 April 2019, 3:21:46 AM",1115154715262763008,1115349032132542464,['1115349032132542464'],984234192,MalvoM,POS,0.9907880425453186
@flyethiopian Happy 73rd Anniversary!,334032462,"9 April 2019, 3:15:11 AM",1115154715262763008,1115347376062042113,['1115347376062042113'],1027959166034427905,ctnjek,POS,0.9922047257423401
@flyethiopian please share the 1st flight crew on board in that historic flight,334032462,"9 April 2019, 2:20:00 AM",1115154715262763008,1115333488910245889,['1115333488910245889'],954243450257526784,KamNoah1,POS,0.6633940935134888
@flyethiopian congratulations Ethiopian airline I proud of you 💚💛❤,334032462,"9 April 2019, 2:08:41 AM",1115154715262763008,1115330642642968576,['1115330642642968576'],859118636472127488,jiry_joseph,POS,0.9909340143203735
