conversation_id,id,edit_history_tweet_ids,in_reply_to_user_id,author_id,text,created_at,author_name,label,score
448110947937165312,448517519020941312,['448517519020941312'],19106719,2388242935,@MAS prayers for them,2014-03-25T17:51:24.000Z,edgardg80,POS,0.6409028172492981
448110947937165312,448445519761653760,['448445519761653760'],19106719,1416940544,@MAS we offer our Sincere prayers to all the passenger &amp; crew of malaysian airlines MH370 condolence to all relatives ....,2014-03-25T13:05:18.000Z,odlanor88,NEU,0.7056733965873718
448110947937165312,448443331417083904,['448443331417083904'],19106719,2177672006,@MAS saya tetap ♥ MAS.,2014-03-25T12:56:36.000Z,ZairinIsmail,NEU,0.9747906923294067
448110947937165312,448412932318035968,['448412932318035968'],19106719,453843714,@MAS may God put the repose of their soul into peace and eternity! http://t.co/3BPzZjnGRS,2014-03-25T10:55:48.000Z,ShingShyne,POS,0.8174919486045837
448110947937165312,448411838477107200,['448411838477107200'],19106719,1958615208,@MAS my prayers and hope to all passengers that they are still alive,2014-03-25T10:51:28.000Z,JLayaoen,POS,0.7609038949012756
448110947937165312,448406713213800448,['448406713213800448'],19106719,765680912,@MAS Ma-lie-sia!!!!!!!!!!!!!!,2014-03-25T10:31:06.000Z,liran017,NEG,0.8844399452209473
448110947937165312,448368341015875584,['448368341015875584'],19106719,2433708881,@MAS condolence to the bereaved family..We are very sorry in your loss.:(,2014-03-25T07:58:37.000Z,mj_mag2007,NEG,0.6917611360549927
448110947937165312,448347708252643328,['448347708252643328'],19106719,2394027985,@MAS may all the soul be rest in peace...,2014-03-25T06:36:38.000Z,CenzonJun,POS,0.8734581470489502
448110947937165312,448338307047358464,['448338307047358464'],19106719,88937817,"@MAS Heartfelt condolences to the Malaysian Airlines team as well. To our beloved MAS CEO Mr Ahmad Jauhari, pls stay strong sir.",2014-03-25T05:59:16.000Z,khazian,POS,0.971972644329071
448110947937165312,448326680721907712,['448326680721907712'],19106719,2181112129,@MAS,2014-03-25T05:13:04.000Z,Meilannie2,NEU,0.9518000483512878
448110947937165312,448326526392475648,['448326526392475648'],19106719,60636761,@MAS condolences from Ph people...,2014-03-25T05:12:28.000Z,TOORK,NEU,0.6442219018936157
448110947937165312,448324474941624322,['448324474941624322'],19106719,797426359,@MAS,2014-03-25T05:04:18.000Z,butch040183,NEU,0.9518000483512878
448110947937165312,448321134212030464,['448321134212030464'],19106719,2314442077,@MAS sad...condolence to the family..,2014-03-25T04:51:02.000Z,kirara1411,NEG,0.9492078423500061
448110947937165312,448319565957566464,['448319565957566464'],19106719,143705849,@MAS we offer our prayers to the victims and their families,2014-03-25T04:44:48.000Z,youarehealed,NEU,0.7729540467262268
448110947937165312,448318916092116996,['448318916092116996'],19106719,917646794,@MAS stay strong God will provide all the answers... Our prayers from Philippines,2014-03-25T04:42:13.000Z,nozomifaith0126,POS,0.9179266095161438
448110947937165312,448304369071841281,['448304369071841281'],19106719,90543426,@MAS I humbly fuck you,2014-03-25T03:44:25.000Z,moneky719,NEG,0.9817772507667542
448110947937165312,448284154950868992,['448284154950868992'],19106719,631547714,@MAS We need the truth!!!,2014-03-25T02:24:05.000Z,kellerdutoo,NEU,0.8568075895309448
448110947937165312,448276249752788992,['448276249752788992'],19106719,2267333833,@MAS,2014-03-25T01:52:41.000Z,jubinmathew008,NEU,0.9518000483512878
448110947937165312,448270184722092033,['448270184722092033'],19106719,406290393,"“@MAS: We humbly offer our sincere thoughts, prayers
&amp; condolences 2 every1 affected by #MH370 tragedy"" at least families can now hv closure",2014-03-25T01:28:35.000Z,bevng1971,POS,0.5371495485305786
448110947937165312,448267668307460096,['448267668307460096'],19106719,252150806,@MAS How the hell does something like this happen! My heart breaks for the families &amp; passengers. Just awful! I can't believe it! 💔😢,2014-03-25T01:18:35.000Z,RubyTeuzday,NEG,0.98509281873703
448110947937165312,448223155467726849,['448223155467726849'],19106719,1354118108,@MAS MAS as international carrier and reputable airline should make an all out check up on all their aircraft captains and co-pilots!,2014-03-24T22:21:42.000Z,yem0462,NEU,0.8818444609642029
