text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
@MAS any idea why they didn't ?,19106719,"11 March 2014, 10:58:56 PM",443326851688050689,443415788595081216,['443415788595081216'],80247994,BasheerOlakara,NEU,0.7910312414169312
@MAS Beyond my mind. Heart felt wish for best outcomes.,19106719,"11 March 2014, 9:12:05 PM",443326851688050689,443388897759092736,['443388897759092736'],418684034,gaglew,POS,0.9215508103370667
@MAS https://t.co/sxXmpdDnfx,19106719,"11 March 2014, 8:42:00 PM",443326851688050689,443381325462896641,['443381325462896641'],26478037,Tannypp,NEU,0.9714065194129944
@MAS yg penting apa yg KP explain td...dan berdoa bkn cari salah siapa,19106719,"11 March 2014, 8:01:46 PM",443326851688050689,443371202099159040,['443371202099159040'],2393715874,ZawatiAbdullah,NEU,0.9788818359375
@MAS maafkan MAS... bkn kita aje yg terkejut...mereka pun tak pernah hadapi peristiwa sebesar nie...belajar dr kesilapan,19106719,"11 March 2014, 7:59:40 PM",443326851688050689,443370672975142913,['443370672975142913'],2393715874,ZawatiAbdullah,NEU,0.9426212310791016
@MAS My prayers with all aboard.. Very tough situation for the family members.. God will give them strength..,19106719,"11 March 2014, 7:04:30 PM",443326851688050689,443356788088250368,['443356788088250368'],64770734,meetviren,NEU,0.6309936046600342
@MAS ridiculous small issue like this can't make it right! Shame on you guys! No wonder foreign press keep lambasting us on #MH370,19106719,"11 March 2014, 6:14:21 PM",443326851688050689,443344167201038336,['443344167201038336'],121306914,juarezfong,NEG,0.9757059812545776
@MAS then who feed the DCA with the info about the 5 pssgnr checked in but didn't go on board? This is too fishy,19106719,"11 March 2014, 5:56:47 PM",443326851688050689,443339747297988609,['443339747297988609'],293541785,mujahidpahmi,NEG,0.8903254270553589
@MAS the DCA previously said 5. Was he wrong? Sure 4 not 5? Also what about the malay dude who showed his boarding pass on twitter? Hoax?,19106719,"11 March 2014, 5:49:29 PM",443326851688050689,443337910385782785,['443337910385782785'],190963119,azrilbangsar,NEU,0.5290458798408508
@MAS but you would have put this clarification earlier,19106719,"11 March 2014, 5:40:46 PM",443326851688050689,443335715699822592,['443335715699822592'],2247246280,Josure_kajo,NEU,0.9405708312988281
@MAS what the hell actually happened? Information contradicting..,19106719,"11 March 2014, 5:30:33 PM",443326851688050689,443333145505849344,['443333145505849344'],1413379753,ismeth83,NEG,0.9592031836509705
@MAS POLICE: ALL who BOUGHT the ticket - boarded the flight.  you said  5 passengers had their luggage off-loaded. Police wrong?,19106719,"11 March 2014, 5:30:19 PM",443326851688050689,443333088416780289,['443333088416780289'],137993990,JulySunset,NEG,0.825076162815094
