text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
@MAS #MASalert perhaps it was swallowed up by a shark,19106719,"12 March 2014, 9:55:51 PM",443616872185884672,443762300445405184,['443762300445405184'],1947883303,AvremelNowMoshi,NEG,0.7283703684806824
@MAS what about the 'bomoh' things?,19106719,"12 March 2014, 5:31:59 PM",443616872185884672,443695895301742592,['443695895301742592'],2286801258,michelineshery,NEU,0.9663683772087097
"@MAS  supposed army radar officer inform DCA immediately,when he detected the.plane turn back for clarification.Must get ready fighter jet.",19106719,"12 March 2014, 5:31:11 PM",443616872185884672,443695693186596864,['443695693186596864'],482535427,yasirzaim,NEU,0.953301727771759
"@MAS I pray for u, God  give u a miracle. Trust it, belive it.",19106719,"12 March 2014, 5:17:18 PM",443616872185884672,443692198370881536,['443692198370881536'],1010812056,JosuaNoeng,POS,0.9739463925361633
@MAS The information provided by the Malaysian authorities just goes to show there is very poor management. http://t.co/YLUGXa6FYL,19106719,"12 March 2014, 4:10:07 PM",443616872185884672,443675293392203776,['443675293392203776'],406679671,DriesenBrandon,NEG,0.9789738059043884
@MAS,19106719,"12 March 2014, 3:53:42 PM",443616872185884672,443671159264268288,['443671159264268288'],1394844276,yuaysh,NEU,0.9249069094657898
@MAS your government is misleading the world so you can destroy the evidence. You kewn where the plane went.,19106719,"12 March 2014, 3:14:07 PM",443616872185884672,443661200216170496,['443661200216170496'],115482618,tiawaiata,NEG,0.9595078825950623
"@MAS so they don't talk to media, no doubt....*sloppiness* Delays, little comment due to fears of litigation..",19106719,"12 March 2014, 1:30:08 PM",443616872185884672,443635032209371136,['443635032209371136'],282854342,The1770Impact,NEG,0.9473457932472229
@MAS semoga pesawat MH370 cpt di temukan....dan keluarga penumpang MH370 di beri ketabahan...... AMIIIIINNN,19106719,"12 March 2014, 1:15:48 PM",443616872185884672,443631424290045952,['443631424290045952'],2362933758,IwanDem,NEU,0.9473337531089783
@MAS don't lie. Where is it? You knew it,19106719,"12 March 2014, 12:42:22 PM",443616872185884672,443623010000306177,['443623010000306177'],2182061072,ELESMARTelect,NEG,0.5307278633117676
"Latest Media Statement from @MAS regarding #MH370 ..http://t.co/xksOQl2pHT
#MASalert",19106719,"12 March 2014, 12:35:36 PM",443616872185884672,443621308417310721,['443621308417310721'],864233112,tomkorocz,NEU,0.9792713522911072
@MAS   I ASK THAT YOU PRAY FOR THE FAMILIES AS THEY WAIT THUR THIS HORRIBLE EXPERIENCE. SOME THING THAT ONLY GOD CAN HELP.,19106719,"12 March 2014, 12:23:46 PM",443616872185884672,443618328947740672,['443618328947740672'],503064233,vickiemanthei,NEG,0.6509395837783813
