text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
@MAS guys and girls. Do not add pressures. Let them do what they need to do. Stop all your assumption. Put yourselves in their shoes.,19106719,"10 March 2014, 11:40:28 PM",442961134870474752,443063851391524865,['443063851391524865'],83403638,ChaozCrazee,NEG,0.569117546081543
@MAS is there any new update ?,19106719,"10 March 2014, 10:23:54 PM",442961134870474752,443044583216148480,['443044583216148480'],273844019,sushbhattarai,NEU,0.9764155745506287
@MAS  did anyone ask captain's friends &amp; bahavioral scientists on  what he may do or leave msgs in time of crisis.,19106719,"10 March 2014, 8:48:48 PM",442961134870474752,443020651113111553,['443020651113111553'],2374634694,drmasmohdd,NEU,0.9527389407157898
@MAS @ntsb @DHSgov USA MIA NAP DESTINATIONS SEE KUL PEK AWARE MR.PERKINS US CONSULATE AT NAPLES ITALY PEK RINS INS USA!FACEBOOK @united FCO,19106719,"10 March 2014, 8:12:18 PM",442961134870474752,443011462643318784,['443011462643318784'],223171129,nelsonlariccia,NEU,0.9704129099845886
"@MAS sama2 kita berdoa.. MAS tak senyap, MAS n team sedang b'kerja keras. Dont blame them.",19106719,"10 March 2014, 6:27:11 PM",442961134870474752,442985008873996288,['442985008873996288'],100687098,SelamatPalestin,NEU,0.6345929503440857
@MAS senyaplaaaaa,19106719,"10 March 2014, 6:03:16 PM",442961134870474752,442978991092162560,['442978991092162560'],2265354584,wrdafrsya,NEU,0.9517239332199097
@MAS Thank You So Much for the thorough update.You are doing a very admirable job in this very troubled time&amp;it is much appreciated.,19106719,"10 March 2014, 5:46:21 PM",442961134870474752,442974735287476224,['442974735287476224'],867725665,ImTheMom_TaDa,POS,0.9904345273971558
@MAS  Amen we shall continue praying for the mh 370,19106719,"10 March 2014, 5:08:53 PM",442961134870474752,442965305065619456,['442965305065619456'],2200309046,chrizcruz1932,POS,0.6986481547355652
@MAS Did you find something?,19106719,"10 March 2014, 5:02:13 PM",442961134870474752,442963627164049408,['442963627164049408'],515744457,dusekov88,NEU,0.9737929701805115
#MalaysiaAirlines  Alle 17:30 Nuovo  Comunicato dellaEOC (EmergencyOperationsCenter) #aereo #tragedia #Asia (@MAS) http://t.co/nT8L5UJj5K,19106719,"10 March 2014, 4:59:41 PM",442961134870474752,442962991898570752,['442962991898570752'],118284260,photob3u2,NEU,0.9728557467460632
