text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
Sorry! Fyi: ALL F 370 R very OK~THEY R COMING BACK to TELL ALL THEY EXPERIENCED While UFO TAKEN w LOVE RT Ty @ http://t.co/TpmNUyyCgL @MAS,19106719,"15 March 2014, 3:27:18 AM",443798637789720576,444570485829804032,['444570485829804032'],1123075297,ArchAngelRich,NEU,0.7274703979492188
@MAS i think the  aircraft  never  took  off.  it  is   parked  in  a  huge  hangar in  the  airport  itself. venu the bard,19106719,"13 March 2014, 11:11:51 PM",443798637789720576,444143814085582849,['444143814085582849'],1045680590,ColMVenugopal,NEG,0.5865629315376282
@MAS @edjunaidi Wrong link. Their link mention about the change of flight name.,19106719,"13 March 2014, 12:06:40 PM",443798637789720576,443976412907585536,['443976412907585536'],89651621,ceciliacsyi,NEG,0.8944621086120605
@MAS f*ck U such a lier!!!!!!!!!!!!fuuuuuuuuuuuuuuuuuuuuuuuck,19106719,"13 March 2014, 10:21:33 AM",443798637789720576,443949960623443968,['443949960623443968'],1580319470,Lingtung_crowen,NEG,0.983055830001831
@MAS You are doing a good job with Twitter updates for #MH370 but it's been 6 days now without any progress of the whereabout of it.,19106719,"13 March 2014, 7:27:45 AM",443798637789720576,443906222027051008,['443906222027051008'],9219982,MartaZeng,NEU,0.7760398387908936
@MAS check the crew on the plane. How can these happen so accidentally? Perhaps you have known what had exactly happened yet refuse to talk.,19106719,"13 March 2014, 3:24:19 AM",443798637789720576,443844962468515840,['443844962468515840'],1275678547,maoliang900824,NEG,0.7754308581352234
@MAS pls tell us something true! Tell us something useful! There are more than 200people dying!!!!!You must have some secrets!!!!,19106719,"13 March 2014, 2:28:48 AM",443798637789720576,443830989346058240,['443830989346058240'],1668885013,243851998,NEG,0.8563141822814941
@MAS MAS - you do your best,19106719,"13 March 2014, 1:03:55 AM",443798637789720576,443809626794913792,['443809626794913792'],259181690,mujib1998,POS,0.9626304507255554
@MAS  Why cant the Cops trace with the passengers mobile number it is possible,19106719,"13 March 2014, 12:55:29 AM",443798637789720576,443807503499804673,['443807503499804673'],577298930,sudhi20091,NEG,0.5120110511779785
"@MAS apakah tidak ada kemungkinan kecil , pesawat jatuh di darat atau hutan terdekat dari sinyal terakhir ?",19106719,"13 March 2014, 12:45:50 AM",443798637789720576,443805078818811905,['443805078818811905'],238838842,roymelvin,NEU,0.9774476289749146
@MAS how we wish you had our cabinet Secretary ps @F_Kimemia on board cc @Etalephil,19106719,"13 March 2014, 12:26:41 AM",443798637789720576,443800259307642880,['443800259307642880'],272342021,4Ng000,NEU,0.55485600233078
Cc: TMI RT @MAS: [#MASalert] Clarification with regards to travel misconnection of next of kin from Beijing  - http://t.co/gnyKWkAyWF,19106719,"13 March 2014, 12:25:13 AM",443798637789720576,443799890406014976,['443799890406014976'],38504834,juanajaafar,NEU,0.9585641622543335
@MAS stop covering up! Tell world the right story.,19106719,"13 March 2014, 12:24:02 AM",443798637789720576,443799592685928448,['443799592685928448'],115482618,tiawaiata,NEG,0.8246228098869324
