text,in_reply_to_user_id,created_at,conversation_id,id,edit_history_tweet_ids,author_id,author_name,label,score
@flyethiopian @HermelaTV My admiration and respect to Ethiopia. I wish these wemon all the best. 👸🏽🌞🙋🏽‍♂️,334032462,"9 March 2019, 11:05:42 AM",1100323072895270912,1104231761049993216,['1104231761049993216'],75052528,jazzblowin,POS,0.9897428154945374
@flyethiopian @proudMamasgirl 🔥 🔥 🔥,334032462,"8 March 2019, 5:09:15 AM",1100323072895270912,1103779671467061248,['1103779671467061248'],961175971448664065,PeratoN_Senior,POS,0.9868794083595276
"@flyethiopian As the Lucys take off ,control the skies and land in Oslo, kindly keep us posted with pictures that you shall find appropriate. Such events occur on special days like the International Women's day and this is putting the business and dignity of @flyethiopian very high! BIG UP!",334032462,"8 March 2019, 3:25:35 AM",1100323072895270912,1103753582019600385,['1103753582019600385'],954802662838587393,kabbiazi,POS,0.9720297455787659
"@flyethiopian You guys are GREAT! I wish  all female  crew that shall be in command,technical  and service of the flight to Oslo,the entire airline leadership and staff and all passengersto Oslo and to other destinations a very bon voyage! Kindly keep us posted on how you shall be proceeding.",334032462,"8 March 2019, 3:13:14 AM",1100323072895270912,1103750474451349505,['1103750474451349505'],954802662838587393,kabbiazi,POS,0.9922798871994019
"@flyethiopian Yeeeeey, wonderful!",334032462,"7 March 2019, 11:29:50 PM",1100323072895270912,1103694253337858048,['1103694253337858048'],2850263720,adeytigray_,POS,0.9908735752105713
@flyethiopian Your online check in process is such a mess. I always have to end up calling your unhelpful helpdesk who lie to me that your systems are down. It’s always the same story! 😡,334032462,"1 March 2019, 11:12:28 AM",1100323072895270912,1101334360832331776,['1101334360832331776'],875388073009442817,PrezShu,NEG,0.9803158640861511
@flyethiopian Love that team.,334032462,"27 February 2019, 2:03:33 PM",1100323072895270912,1100652642861305856,['1100652642861305856'],161750977,Abdelrehman,POS,0.9927855730056763
@flyethiopian Yes you can! What you are doing and having is what you are deserve to do and to have!,334032462,"27 February 2019, 12:31:40 PM",1100323072895270912,1100629518044282881,['1100629518044282881'],2737855528,eliasibrahem1,POS,0.9711922407150269
@flyethiopian @MariaSTsehai I will be there and then 🔥🔥🔥💋👄,334032462,"26 February 2019, 10:48:00 PM",1100323072895270912,1100422236287262720,['1100422236287262720'],2996011006,WhymelordMai,NEU,0.9474659562110901
@flyethiopian There are several Airlines around the world taking on this initiative #Allwomenflight Well done @flyethiopian,334032462,"26 February 2019, 8:55:59 PM",1100323072895270912,1100394047049363457,['1100394047049363457'],1076376311420121088,AirMichal,POS,0.986713171005249
@flyethiopian @EthioPhenomenal https://t.co/XEMMW1FOTl,334032462,"26 February 2019, 4:56:34 PM",1100323072895270912,1100333792823332864,['1100333792823332864'],1028619837998858242,MusiSoliyana,NEU,0.9314227104187012
